author_id,year,avg_logRCR,yearly_paper_count,total_papers_raw,is_treated,event_year,relative_year,Post,DID_term,primary_origin_field,T0_year
A5052854215,2016,3.8985999850960056,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5006446297,2016,2.3635400210147504,7,7,1,2017,-1.0,0.0,0.0,Computer Science,2014
A5003630193,2016,3.8985999850960056,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5013723114,2014,2.3981456170334448,3,3,0,9999,,0.0,0.0,Mathematics,2014
A5004271128,2014,3.8985999850960056,2,2,1,2017,-3.0,0.0,0.0,Computer Science,2014
A5085746798,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5004271128,2016,3.8985999850960056,2,2,1,2017,-1.0,0.0,0.0,Computer Science,2014
A5071093940,2016,3.8985999850960056,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016
A5113871902,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2015
A5001226970,2016,3.8985999850960056,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2015
A5020162825,2016,3.8985999850960056,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5032356827,2016,3.8985999850960056,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2015
A5028376903,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5113166350,2016,3.520143085636538,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5004918186,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5091179481,2016,2.739525180328427,2,2,1,2018,-2.0,0.0,0.0,Computer Science,2016
A5058189297,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5109600054,2016,3.5094109663023882,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5100444820,2016,3.5094109663023882,1,1,1,2019,-3.0,0.0,0.0,Physics and Astronomy,2016
A5066553616,2016,3.5094109663023882,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5071983998,2015,3.1917533174420027,2,2,1,2017,-2.0,0.0,0.0,Computer Science,2014
A5023417820,2016,3.728232078402323,2,2,0,9999,,0.0,0.0,Computer Science,2015
A5066666034,2016,3.728232078402323,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5068559249,2016,3.7578723256008875,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016
A5090720315,2016,3.7578723256008875,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5001571390,2016,3.7578723256008875,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5086198262,2016,2.489881945855753,15,15,1,2018,-2.0,0.0,0.0,Computer Science,2014
A5041142359,2014,1.9492999925480028,2,2,1,2016,-2.0,0.0,0.0,Computer Science,2014
A5100404176,2016,3.140999844271085,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5068830343,2016,3.1780538303479458,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5026322200,2016,3.4522525524624394,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016
A5037736834,2016,3.4522525524624394,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5111438774,2016,2.7990219793079367,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5003562101,2016,3.4854866690415967,3,3,1,2016,0.0,1.0,1.0,Computer Science,2014
A5045383831,2016,2.5660952478370316,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2015
A5016973102,2014,3.047912281216113,2,2,1,2016,-2.0,0.0,0.0,Computer Science,2014
A5021345568,2016,2.0243817644968085,1,1,0,9999,,0.0,0.0,Engineering,2016
A5060417258,2016,2.436116485618568,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5053990531,2016,2.496569888903842,2,2,1,2018,-2.0,0.0,0.0,Computer Science,2014
A5087700167,2016,1.1085381729444754,2,2,0,9999,,0.0,0.0,Computer Science,2016
