year,coef,ci_low,ci_high,sig,period
2014,0.0037492278916007875,-0.26484738817821246,0.2723458439614141,— 不显著,PRE
2015,-0.07155234948707231,-0.28821752935394346,0.14511283037979883,— 不显著,PRE
2016,0.006315311470630732,-0.1663088570223113,0.17893947996357273,— 不显著,PRE
2017,0.141919466294424,0.04976612674496232,0.23407280584388568,✅ 显著,PRE
2018,0.025052318982305623,-0.05140766712947282,0.10151230509408407,— 不显著,PRE
2019,0.07322336794990211,0.0096197917601398,0.13682694413966442,✅ 显著,PRE
2020,0.04887050505003814,-0.006533127212429254,0.10427413731250554,— 不显著,PRE
2021,0.0,0.0,0.0,— 不显著,BASE（基准年）
2022,0.006725453525034053,-0.04854446056430272,0.06199536761437082,— 不显著,POST
2023,0.08362428760577131,0.030801938519100493,0.13644663669244214,✅ 显著,POST
2024,-0.04218802927937735,-0.09618211036363881,0.011806051804884116,— 不显著,POST
2025,0.2713119362177702,0.2249371094996036,0.31768676293593684,✅ 显著,POST
2026,0.2695085435918756,0.19618675749508438,0.3428303296886668,✅ 显著,POST
