year,coef,ci_low,ci_high,sig,period
2014,-0.0009876225749882656,-0.26960291856447444,0.26762767341449795,— 不显著,PRE
2015,-0.07752822053536255,-0.29398408456801783,0.13892764349729275,— 不显著,PRE
2016,-0.00406442827951025,-0.1767086132683222,0.1685797567093017,— 不显著,PRE
2017,0.13962511779928297,0.04741466074801515,0.23183557485055079,✅ 显著,PRE
2018,0.023290512274931136,-0.05330656902027095,0.09988759357013322,— 不显著,PRE
2019,0.06961875464824673,0.0059973562569829025,0.13324015303951053,✅ 显著,PRE
2020,0.05208431977109824,-0.0031781990473105717,0.10734683858950705,— 不显著,PRE
2021,0.0,0.0,0.0,— 不显著,BASE
2022,0.007842229947765256,-0.047384451768960195,0.0630689116644907,— 不显著,POST
2023,0.07736349620877493,0.02461513799368803,0.13011185442386183,✅ 显著,POST
2024,-0.04835386283562728,-0.10238392579978767,0.005676200128533114,— 不显著,POST
2025,0.26948960916402853,0.22308676938670524,0.3158924489413518,✅ 显著,POST
2026,0.24918617800527315,0.17521652236733506,0.3231558336432112,✅ 显著,POST
