WALMART,美国
AMAZON.COM,美国
STATE GRID,中国
SAUDI ARAMCO,沙特阿拉伯
CHINA NATIONAL PETROLEUM,中国
SINOPEC GROUP,中国
UNITEDHEALTH GROUP,美国
APPLE,美国
CVS HEALTH,美国
BERKSHIRE HATHAWAY,美国
MCKESSON,美国
VOLKSWAGEN,德国
ALPHABET,美国
EXXON MOBIL,美国
TOYOTA MOTOR,日本
CHINA STATE CONSTRUCTION ENGINEERING,中国
CENCORA,美国
SHELL,英国
JPMORGAN CHASE,美国
COSTCO WHOLESALE,美国
CIGNA GROUP,美国
MICROSOFT,美国
TRAFIGURA GROUP,新加坡
GLENCORE,瑞士
CARDINAL HEALTH,美国
INDUSTRIAL & COMMERCIAL BANK OF CHINA,中国
SAMSUNG ELECTRONICS,韩国
HON HAI PRECISION INDUSTRY,中国
CHEVRON,美国
AGRICULTURAL BANK OF CHINA,中国
CHINA CONSTRUCTION BANK,中国
TOTALENERGIES,法国
BP,英国
BANK OF AMERICA,美国
GENERAL MOTORS,美国
FORD MOTOR,美国
ELEVANCE HEALTH,美国
BANK OF CHINA,中国
CITIGROUP,美国
STELLANTIS,荷兰
META PLATFORMS,美国
CENTENE,美国
CHINA RAILWAY ENGINEERING GROUP,中国
JD.COM,中国
CHINA LIFE INSURANCE,中国
HOME DEPOT,美国
PING AN INSURANCE,中国
MERCEDES-BENZ GROUP,德国
BMW GROUP,德国
FANNIE MAE,美国
CHINA RAILWAY CONSTRUCTION,中国
WALGREENS BOOTS ALLIANCE,美国
KROGER,美国
BNP PARIBAS,法国
BANCO SANTANDER,西班牙
HSBC HOLDINGS,英国
PHILLIPS 66,美国
CHINA MOBILE COMMUNICATIONS,中国
HONDA MOTOR,日本
MARATHON PETROLEUM,美国
CHINA COMMUNICATIONS CONSTRUCTION,中国
CITIC GROUP,中国
ALIBABA GROUP HOLDING,中国
VERIZON COMMUNICATIONS,美国
CHINA NATIONAL OFFSHORE OIL,中国
NVIDIA,美国
CHINA RESOURCES,中国
HYUNDAI MOTOR,韩国
ELECTRICITÉ DE FRANCE,法国
GOLDMAN SACHS GROUP,美国
WELLS FARGO,美国
DEUTSCHE TELEKOM,德国
CHINA BAOWU STEEL GROUP,中国
VALERO ENERGY,美国
COMCAST,美国
ALLIANZ,德国
STATE FARM INSURANCE,美国
AT&T,美国
MITSUBISHI,日本
FREDDIE MAC,美国
HENGLI GROUP,中国
SHANDONG ENERGY GROUP,中国
HUAWEI INVESTMENT & HOLDING,中国
CHINA SOUTHERN POWER GRID,中国
HUMANA,美国
CHINA MINMETALS,中国
GAZPROM,俄罗斯
RELIANCE INDUSTRIES,印度
SOCIÉTÉ GÉNÉRALE,法国
ROSNEFT OIL,俄罗斯
BYD,中国
CHINA ENERGY INVESTMENT,中国
MORGAN STANLEY,美国
TARGET,美国
LIFE INSURANCE CORP. OF INDIA,印度
EQUINOR,挪威
NESTLÉ,瑞士
XIAMEN C&D,中国
STONEX GROUP,美国
POWERCHINA,中国
ROYAL BANK OF CANADA,加拿大
SBERBANK,俄罗斯
AXA,法国
ENI,意大利
BOSCH GROUP,德国
TESLA,美国
CHINA POST GROUP,中国
ROYAL AHOLD DELHAIZE,荷兰
ITOCHU,日本
MITSUI,日本
DELL TECHNOLOGIES,美国
REWE GROUP,德国
CARREFOUR,法国
SK,韩国
PEPSICO,美国
TENCENT HOLDINGS,中国
CHRISTIAN DIOR,法国
ZHEJIANG RONGSHENG HOLDING GROUP,中国
SINOPHARM,中国
PETROBRAS,巴西
PEMEX,墨西哥
WALT DISNEY,美国
UNITED PARCEL SERVICE,美国
DHL GROUP,德国
CRÉDIT AGRICOLE,法国
TAIWAN SEMICONDUCTOR MANUFACTURING,中国
INDIAN OIL,印度
NIPPON TELEGRAPH AND TELEPHONE,日本
TESCO,英国
MITSUBISHI UFJ FINANCIAL GROUP,日本
JOHNSON & JOHNSON,美国
TORONTO-DOMINION BANK,加拿大
COFCO,中国
CHINA TELECOMMUNICATIONS,中国
FEDEX,美国
PTT,泰国
BANCO BILBAO VIZCAYA ARGENTARIA,西班牙
SAIC MOTOR,中国
UBS GROUP,瑞士
E.ON,德国
PEOPLE'S INSURANCE CO. OF CHINA,中国
BROOKFIELD,加拿大
ARCHER DANIELS MIDLAND,美国
SIEMENS,德国
ENEL,意大利
SONY,日本
PROCTER & GAMBLE,美国
LOWE'S,美国
WUCHAN ZHONGDA GROUP,中国
NISSAN MOTOR,日本
ENERGY TRANSFER,美国
GROUPE BPCE,法国
RTX,美国
ALBERTSONS,美国
ZHEJIANG GEELY HOLDING GROUP,中国
ENGIE,法国
U.S. POSTAL SERVICE,美国
SYSCO,美国
KIA,韩国
VINCI,法国
SHENGHONG HOLDING GROUP,中国
SEVEN & I HOLDINGS,日本
STATE BANK OF INDIA,印度
CHINA FAW GROUP,中国
JIANGXI COPPER,中国
SHANDONG WEIQIAO PIONEERING GROUP,中国
JBS,荷兰
BANK OF COMMUNICATIONS,中国
PROGRESSIVE,美国
PACIFIC CONSTRUCTION GROUP,中国
PERTAMINA,印度尼西亚
UNIPER,德国
JAPAN POST HOLDINGS,日本
AIRBUS,荷兰
AMERICAN EXPRESS,美国
ORLEN,波兰
DEUTSCHE BANK,德国
SHAANXI COAL & CHEMICAL INDUSTRY,中国
LLOYDS BANKING GROUP,英国
ENEOS HOLDINGS,日本
OIL & NATURAL GAS,印度
LUKOIL,俄罗斯
NIPPON LIFE INSURANCE,日本
ING GROUP,荷兰
BARCLAYS,英国
LOCKHEED MARTIN,美国
METLIFE,美国
ROCHE GROUP,瑞士
HCA HEALTHCARE,美国
BASF,德国
KOÇ HOLDING,土耳其
PRUDENTIAL FINANCIAL,美国
CHINA MERCHANTS BANK,中国
PETRONAS,马来西亚
ALIMENTATION COUCHE-TARD,加拿大
LENOVO GROUP,中国
KOREA ELECTRIC POWER,韩国
TOYOTA TSUSHO,日本
CHINA POLY GROUP,中国
WILMAR INTERNATIONAL,新加坡
BEIJING AUTOMOTIVE GROUP,中国
MUNICH RE GROUP,德国
ALUMINUM CORP. OF CHINA,中国
SUMITOMO MITSUI FINANCIAL GROUP,日本
ITAÚ UNIBANCO HOLDING,巴西
BOEING,美国
AEON,日本
XIAMEN ITG HOLDING GROUP,中国
ZURICH INSURANCE GROUP,瑞士
UNILEVER,英国
ACCENTURE,爱尔兰
COSCO SHIPPING,中国
CATERPILLAR,美国
DAI-ICHI LIFE HOLDINGS,日本
LG ELECTRONICS,韩国
HITACHI,日本
MERCK,美国
ALLSTATE,美国
PFIZER,美国
ZHEJIANG HENGYI GROUP,中国
INTERNATIONAL BUSINESS MACHINES,美国
NEW YORK LIFE INSURANCE,美国
ARCELORMITTAL,卢森堡
ASSICURAZIONI GENERALI,意大利
DELTA AIR LINES,美国
CHINA NORTH INDUSTRIES GROUP,中国
BOUYGUES,法国
CHINA ENERGY ENGINEERING GROUP,中国
RENAULT,法国
BANCO DO BRASIL,巴西
PUBLIX SUPER MARKETS,美国
ANHEUSER-BUSCH INBEV,比利时
CHERY HOLDING GROUP,中国
MIZUHO FINANCIAL GROUP,日本
JINCHUAN GROUP,中国
NATIONWIDE,美国
EDEKA ZENTRALE,德国
DAIMLER TRUCK HOLDING,德国
TD SYNNEX,美国
BANK OF MONTREAL,加拿大
XMXYG,中国
INDUSTRIAL BANK,中国
UNITED AIRLINES HOLDINGS,美国
NIPPON STEEL CORPORATION,日本
CONOCOPHILLIPS,美国
MIDEA GROUP,中国
TSINGSHAN HOLDING GROUP,中国
TJX,美国
ABBVIE,美国
ENTERPRISE PRODUCTS PARTNERS,美国
CHINA PACIFIC INSURANCE,中国
GUANGZHOU AUTOMOBILE INDUSTRY GROUP,中国
BANK OF NOVA SCOTIA,加拿大
HBIS GROUP,中国
INTESA SANPAOLO,意大利
CHINA HUANENG GROUP,中国
CHUBB,瑞士
HDFC BANK,印度
BHP GROUP,澳大利亚
REPSOL,西班牙
PANASONIC HOLDINGS,日本
MAERSK GROUP,丹麦
TOKIO MARINE HOLDINGS,日本
CHARTER COMMUNICATIONS,美国
STATE POWER INVESTMENT,中国
PDD HOLDINGS,中国
PERFORMANCE FOOD GROUP,美国
AMERICAN AIRLINES GROUP,美国
CHINA UNITED NETWORK COMMUNICATIONS,中国
ASTRAZENECA,英国
CAPITAL ONE FINANCIAL,美国
POSCO HOLDINGS,韩国
CISCO SYSTEMS,美国
RIO TINTO GROUP,英国
HP,美国
PHOENIX PHARMA,德国
SANOFI,法国
TYSON FOODS,美国
BUNGE GLOBAL,瑞士
INTEL,美国
IDEMITSU KOSAN,日本
ORACLE,美国
TATA MOTORS,印度
BROADCOM,美国
BHARAT PETROLEUM,印度
VTB BANK,俄罗斯
NOVARTIS,瑞士
DEERE,美国
JINNENG HOLDING GROUP,中国
NIKE,美国
DONGFENG MOTOR,中国
JINGYE GROUP,中国
BANCO BRADESCO,巴西
MARUBENI,日本
SHAANXI YANCHANG PETROLEUM,中国
DEUTSCHE BAHN,德国
XIAOMI,中国
CRÉDIT MUTUEL GROUP,法国
LOUIS DREYFUS,荷兰
LIBERTY MUTUAL INSURANCE GROUP,美国
BAYER,德国
SAINT-GOBAIN,法国
CONTEMPORARY AMPEREX TECHNOLOGY,中国
PLAINS GP HOLDINGS,美国
TALANX,德国
UNICREDIT GROUP,意大利
VOLVO,瑞典
HD HYUNDAI,韩国
SHANGHAI PUDONG DEVELOPMENT BANK,中国
UNITED SERVICES AUTOMOBILE ASSN.,美国
SK HYNIX,韩国
IBERDROLA,西班牙
VEOLIA ENVIRONNEMENT,法国
BRISTOL-MYERS SQUIBB,美国
LANDESBANK BADEN-WÜRTTEMBERG,德国
INGRAM MICRO HOLDING,美国
SUMITOMO,日本
GENERAL DYNAMICS,美国
CHINA VANKE,中国
SOFTBANK GROUP,日本
AMÉRICA MÓVIL,墨西哥
CANADIAN IMPERIAL BANK OF COMMERCE,加拿大
COCA-COLA,美国
L'ORÉAL,法国
DENSO,日本
TIAA,美国
MEITUAN,中国
SNCF GROUP,法国
TRAVELERS,美国
ZHEJIANG COMMUNICATIONS INVESTMENT GROUP,中国
SWISS RE,瑞士
CHINA SOUTH INDUSTRIES GROUP,中国
RAÍZEN,巴西
TAIKANG INSURANCE GROUP,中国
INGKA GROUP,荷兰
ELI LILLY,美国
ACS,西班牙
SUSUN CONSTRUCTION GROUP,中国
CHINA HUADIAN,中国
GEORGE WESTON,加拿大
ORANGE,法国
ZF FRIEDRICHSHAFEN,德国
TELEFÓNICA,西班牙
TOKYO ELECTRIC POWER,日本
WOOLWORTHS GROUP,澳大利亚
VODAFONE GROUP,英国
UBER TECHNOLOGIES,美国
QUANTA COMPUTER,中国
FOMENTO ECONÓMICO MEXICANO,墨西哥
MS&AD INSURANCE GROUP HOLDINGS,日本
CHINA NATIONAL BUILDING MATERIAL GROUP,中国
SINOMACH,中国
DZ BANK,德国
MASSACHUSETTS MUTUAL LIFE INSURANCE,美国
DOW,美国
ANZ GROUP HOLDINGS,澳大利亚
CONTINENTAL,德国
COMMONWEALTH BANK OF AUSTRALIA,澳大利亚
THERMO FISHER SCIENTIFIC,美国
MAGNA INTERNATIONAL,加拿大
U.S. BANCORP,美国
CAIXA ECONÔMICA FEDERAL,巴西
FAIRFAX FINANCIAL HOLDINGS,加拿大
J. SAINSBURY,英国
ZIJIN MINING GROUP,中国
WORLD KINECT,美国
X5 RETAIL GROUP,荷兰
NOVO NORDISK,丹麦
OLAM GROUP,新加坡
COMPASS GROUP,英国
HYUNDAI MOBIS,韩国
ABBOTT LABORATORIES,美国
STANDARD CHARTERED,英国
SHANGHAI CONSTRUCTION GROUP,中国
INDITEX,西班牙
BEST BUY,美国
NORTHWESTERN MUTUAL,美国
SCHNEIDER ELECTRIC,法国
KB FINANCIAL GROUP,韩国
NORTHROP GRUMMAN,美国
NATIONAL AUSTRALIA BANK,澳大利亚
HANWHA,韩国
MOLINA HEALTHCARE,美国
LUFTHANSA GROUP,德国
DOLLAR GENERAL,美国
LYONDELLBASELL INDUSTRIES,荷兰
CHINA MINSHENG BANKING,中国
GSK,英国
BANK OF NEW YORK (BNY,美国
HAIER SMART HOME,中国
CENOVUS ENERGY,加拿大
COOP GROUP,瑞士
S.F. HOLDING,中国
HANGZHOU INDUSTRIAL INVESTMENT GROUP,中国
WARNER BROS. DISCOVERY,美国
CHS,美国
ENBRIDGE,加拿大
NETFLIX,美国
QUALCOMM,美国
KDDI,日本
SHANDONG HI-SPEED GROUP,中国
GENERAL ELECTRIC (GE AEROSPACE,美国
MERCADONA,西班牙
HONEYWELL INTERNATIONAL,美国
HANGZHOU IRON AND STEEL GROUP,中国
GUANGZHOU INDUSTRIAL INVESTMENT HOLDINGS,中国
SHANGHAI PHARMACEUTICALS HOLDING,中国
SUZUKI MOTOR,日本
VALE,巴西
THYSSENKRUPP,德国
SALESFORCE,美国
PHILIP MORRIS INTERNATIONAL,美国
US FOODS HOLDING,美国
SHENZHEN INVESTMENT HOLDINGS,中国
