author_id,is_treated,event_year_aligned,display_name,institution,country_code,is_industry_elite,is_academic_elite,is_elite_overall
https://openalex.org/A5078861262,1,2015,Ben Acton,Cancer Research UK Manchester Institute,GB,0.0,0.0,0
https://openalex.org/A5021622441,1,2015,Jonathan F. Goodwin,Thomas Jefferson University,US,0.0,0.0,0
https://openalex.org/A5077933358,1,2015,C. Serpenti,AbbVie (Netherlands),NL,1.0,0.0,1
https://openalex.org/A5028570427,1,2015,Colin Hutton,The Francis Crick Institute,GB,0.0,0.0,0
https://openalex.org/A5077908900,1,2015,Marco Barazas,Leiden University Medical Center,NL,0.0,1.0,1
https://openalex.org/A5056045921,1,2015,Hussein Tawbi,The University of Texas MD Anderson Cancer Center,US,0.0,1.0,1
https://openalex.org/A5023751143,1,2015,Tokuhisa Hirouchi,Institute for Environmental Sciences,JP,0.0,0.0,0
https://openalex.org/A5064886420,1,2015,Desiree Iriarte,Swedish Medical Center,US,0.0,0.0,0
https://openalex.org/A5020321227,1,2015,Shifalika Tangutoori,Northeastern University,US,0.0,1.0,1
https://openalex.org/A5108049701,1,2015,Ting Wang,Nanjing Agricultural University,CN,0.0,0.0,0
https://openalex.org/A5111700905,1,2015,Yuqiao Shen,Shenyang Aerospace University,CN,0.0,0.0,0
https://openalex.org/A5100439933,1,2015,Bailing Xu,Chinese Academy of Medical Sciences & Peking Union Medical College,CN,0.0,0.0,0
https://openalex.org/A5072852256,1,2015,Robert Hetman,AbbVie (United States),US,1.0,0.0,1
https://openalex.org/A5033547791,1,2015,Paige Baldwin,Rowan University,US,0.0,0.0,0
https://openalex.org/A5038684427,1,2015,Philip C. Schouten,Cambridge University Hospitals NHS Foundation Trust,GB,0.0,0.0,0
https://openalex.org/A5057465774,1,2015,Alexandra Stowell,C4X Discovery (United Kingdom),GB,0.0,0.0,0
https://openalex.org/A5113319335,1,2015,Karen So,AstraZeneca (United Kingdom),GB,1.0,0.0,1
https://openalex.org/A5100630915,1,2015,Zhenyu Yang,Jiangnan University,CN,0.0,0.0,0
https://openalex.org/A5008789298,1,2015,Anand D. Jeyasekharan,National University of Singapore,SG,0.0,1.0,1
https://openalex.org/A5035466418,1,2015,Melanie Penke,Leipzig University,DE,0.0,0.0,0
https://openalex.org/A5071199136,1,2015,Katherine M. Bell‐McGuinn,Memorial Sloan Kettering Cancer Center,US,0.0,0.0,0
https://openalex.org/A5054379381,1,2015,Stefanie Girst,Universität der Bundeswehr München,DE,0.0,0.0,0
https://openalex.org/A5042365530,1,2015,Gianluca Papeo,Nerviano Medical Sciences,IT,1.0,0.0,1
https://openalex.org/A5108505149,1,2015,Jean‐Christophe Amé,Université de Strasbourg,FR,0.0,1.0,1
https://openalex.org/A5108401374,1,2015,Liliane Robillard,Clovis Oncology (United States),US,0.0,0.0,0
https://openalex.org/A5052764358,1,2015,Miguel R. Lugo,University of Waterloo,CA,0.0,1.0,1
https://openalex.org/A5087892686,1,2015,Jing Lü,Harbin Medical University,CN,0.0,0.0,0
https://openalex.org/A5113169602,1,2015,Shannon Puhalla,Magee-Womens Research Institute,US,0.0,0.0,0
https://openalex.org/A5039898021,1,2015,Mike Makrigiorgos,Dana-Farber Cancer Institute,US,0.0,0.0,0
https://openalex.org/A5076572636,1,2015,Emma Fairweather,University of Liverpool,GB,0.0,1.0,1
https://openalex.org/A5037359057,1,2015,Ute Hoch,FibroGen (United States),US,0.0,0.0,0
https://openalex.org/A5089283632,1,2015,Houari Korideck,Brigham and Women's Hospital,US,0.0,0.0,0
https://openalex.org/A5076749646,1,2015,Nicola Hamilton,Unknown,Unknown,0.0,0.0,0
https://openalex.org/A5111925004,1,2015,Maria Orr,Unknown,Unknown,0.0,0.0,0
https://openalex.org/A5005988887,1,2015,Denise M. Wolf,"University of California, Berkeley",US,0.0,1.0,1
https://openalex.org/A5023328167,1,2015,A. Rod Merrill,University of Guelph,CA,0.0,1.0,1
https://openalex.org/A5047387130,1,2015,Jean‐Philippe Coppé,"University of California, San Francisco",US,0.0,1.0,1
https://openalex.org/A5034539983,1,2015,Shili Xu,UCLA Medical Center,US,0.0,1.0,1
https://openalex.org/A5101987852,1,2015,Srinivas Sridhar,Thiruvalluvar University,IN,0.0,0.0,0
https://openalex.org/A5036488202,1,2015,Zunzhen Zhang,Sichuan University,CN,0.0,1.0,1
https://openalex.org/A5076324231,1,2015,Payel Chatterjee,University of Washington,US,0.0,1.0,1
https://openalex.org/A5077785086,1,2015,Rajendar K. Mittapalli,Pfizer (United States),US,1.0,0.0,1
https://openalex.org/A5036091074,1,2015,David R. Gandara,Comprehensive Blood & Cancer Center,US,0.0,0.0,0
https://openalex.org/A5065505740,1,2015,Andrew R. Allen,Unknown,Unknown,0.0,0.0,0
https://openalex.org/A5027804793,1,2015,Dominic I. James,Unknown,Unknown,0.0,0.0,0
https://openalex.org/A5004709290,1,2015,Antje Garten,University Hospital Leipzig,DE,0.0,0.0,0
https://openalex.org/A5103063763,1,2015,Gregor Krings,Cleveland Clinic,US,0.0,0.0,0
https://openalex.org/A5100454227,1,2015,Jie Liu,Air Force Medical University,CN,0.0,0.0,0
