author_id,year,is_treated,event_year_aligned,is_industry_elite,is_academic_elite,country_code,avg_logRCR,yearly_paper_count,relative_year,Post,DID_term,is_elite_overall
A5000001452,2023,1,2025,0.0,0.0,CN,0.1402735954304686,1,-2,0,0,0
A5000001452,2024,1,2025,0.0,0.0,CN,0.2116972706260522,2,-1,0,0,0
A5000001452,2025,1,2025,0.0,0.0,CN,0.0,3,0,1,1,0
A5000005685,2021,1,2023,0.0,1.0,US,0.0,1,-2,0,0,1
A5000005685,2023,1,2023,0.0,1.0,US,0.0,1,0,1,1,1
A5000005685,2024,1,2023,0.0,1.0,US,0.1838590554662068,6,1,1,1,1
A5000005685,2025,1,2023,0.0,1.0,US,0.0,3,2,1,1,1
A5000019783,2018,1,2019,0.0,1.0,GB,0.4869808583346899,1,-1,0,0,1
A5000019783,2019,1,2019,0.0,1.0,GB,0.1480289655443317,1,0,1,1,1
A5000019783,2020,1,2019,0.0,1.0,GB,1.8473656005394847,1,1,1,1,1
A5000019783,2023,1,2019,0.0,1.0,GB,1.2329301867821454,6,4,1,1,1
A5000019783,2024,1,2019,0.0,1.0,GB,1.1649650381641292,8,5,1,1,1
A5000019783,2025,1,2019,0.0,1.0,GB,0.4047983571785722,7,6,1,1,1
A5000020627,2025,0,2023,0.0,1.0,CN,1.5222031317460705,2,2,1,0,1
A5000020627,2025,0,2025,0.0,1.0,CN,1.5222031317460705,2,0,1,0,1
A5000020627,2026,0,2023,0.0,1.0,CN,0.0,2,3,1,0,1
A5000020627,2026,0,2025,0.0,1.0,CN,0.0,2,1,1,0,1
A5000021420,2020,1,2024,0.0,1.0,CN,0.3929600536357533,1,-4,0,0,1
A5000021420,2024,1,2024,0.0,1.0,CN,0.1618741187236042,1,0,1,1,1
A5000021420,2025,1,2024,0.0,1.0,CN,0.0,2,1,1,1,1
A5000041406,2021,1,2025,0.0,0.0,Unknown,0.2548680886850014,1,-4,0,0,0
A5000041406,2024,1,2025,0.0,0.0,Unknown,0.1618741187236042,1,-1,0,0,0
A5000041406,2025,1,2025,0.0,0.0,Unknown,0.0,1,0,1,1,0
A5000045048,2021,1,2025,0.0,0.0,KR,0.4577936468851571,1,-4,0,0,0
A5000045048,2022,1,2025,0.0,0.0,KR,0.3937386727568019,2,-3,0,0,0
A5000045048,2023,1,2025,0.0,0.0,KR,0.1008857285408329,4,-2,0,0,0
A5000045048,2024,1,2025,0.0,0.0,KR,0.0,3,-1,0,0,0
A5000045048,2025,1,2025,0.0,0.0,KR,0.5609131262687035,4,0,1,1,0
A5000050905,2024,1,2025,0.0,0.0,KR,0.2007727963045788,3,-1,0,0,0
A5000050905,2025,1,2025,0.0,0.0,KR,0.0,5,0,1,1,0
A5000061186,2020,1,2024,0.0,0.0,CN,0.1760885764788077,1,-4,0,0,0
A5000061186,2021,1,2024,0.0,0.0,CN,0.2548680886850014,1,-3,0,0,0
A5000061186,2024,1,2024,0.0,0.0,CN,0.0,1,0,1,1,0
A5000061186,2025,1,2024,0.0,0.0,CN,0.0,1,1,1,1,0
A5000073123,2020,1,2023,0.0,0.0,DE,0.4859796904020739,1,-3,0,0,0
