author_id,year,avg_logRCR,yearly_paper_count,total_papers_raw,is_treated,event_year,relative_year,Post,DID_term,primary_origin_field,T0_year,institution,is_industry_elite,is_academic_elite,country_code,is_elite_overall
A5059110895,2016,3.551971649995703,6,6,0,9999,,0.0,0.0,Computer Science,2015,,0.0,0.0,,0
A5068406135,2015,3.8985999850960056,2,2,0,9999,,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5003630193,2016,3.8985999850960056,2,2,0,9999,,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5006446297,2016,2.3635400210147504,7,7,1,2017,-1.0,0.0,0.0,Computer Science,2014,Unknown,0.0,0.0,Unknown,0
A5102881531,2016,3.809079641427671,3,3,0,9999,,0.0,0.0,Computer Science,2016,Huanggang Normal University,0.0,0.0,CN,0
A5013723114,2014,2.3981456170334448,3,3,0,9999,,0.0,0.0,Mathematics,2014,Google (United States),1.0,0.0,US,1
A5085746798,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5004271128,2014,3.8985999850960056,2,2,1,2017,-3.0,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5055733526,2014,3.718463446408992,4,4,0,9999,,0.0,0.0,Computer Science,2014,Google (United States),1.0,0.0,US,1
A5004271128,2016,3.8985999850960056,2,2,1,2017,-1.0,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5055733526,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Google (United States),1.0,0.0,US,1
A5071093940,2016,3.8985999850960056,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,Institute of Cognitive and Brain Sciences,0.0,0.0,US,0
A5113871902,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5020162825,2016,3.8985999850960056,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,Zhejiang University of Science and Technology,0.0,1.0,CN,1
