work_id,reference_count_total,reference_count_with_primary_topic,reference_count_missing_primary_topic,reference_field_diversity,reference_entropy,hss_reference_share,cs_core_reference_share,reference_field_counts_json,processed_at_utc
W2125389028,15,14,1,1,0.0,0.0,1.0,"{""Computer Science"": 14}",2026-06-09T20:07:35.697620
W2405756170,37,33,4,2,0.135793958751593,0.0,0.9696969696969691,"{""Computer Science"": 32, ""Environmental Science"": 1}",2026-06-09T20:07:35.697620
W2963226019,23,22,1,3,0.36764947740014203,0.0,0.9090909090909091,"{""Computer Science"": 20, ""Engineering"": 1, ""Neuroscience"": 1}",2026-06-09T20:07:35.697620
W4298289240,0,0,0,0,,,,{},2026-06-09T20:07:35.697620
W2467604901,25,24,1,3,0.544283732969439,0.0,0.833333333333333,"{""Computer Science"": 20, ""Mathematics"": 1, ""Neuroscience"": 3}",2026-06-09T20:07:35.697620
W2577946330,64,53,11,4,0.279704172582172,0.018867924528301,0.943396226415094,"{""Computer Science"": 50, ""Decision Sciences"": 1, ""Engineering"": 1, ""Neuroscience"": 1}",2026-06-09T20:07:35.697620
W2963090522,34,32,2,3,0.656527684932917,0.0,0.75,"{""Computer Science"": 24, ""Engineering"": 1, ""Mathematics"": 7}",2026-06-09T20:07:35.697620
W2546066744,0,0,0,0,,,,{},2026-06-09T20:07:35.697620
W2409550820,54,46,8,3,0.282600106577289,0.0,0.9347826086956521,"{""Computer Science"": 43, ""Mathematics"": 1, ""Neuroscience"": 2}",2026-06-09T20:07:35.697620
W2521028896,23,19,4,1,0.0,0.0,1.0,"{""Computer Science"": 19}",2026-06-09T20:07:35.697620
W2548275288,30,27,3,4,0.5735160760972791,0.0,0.8518518518518511,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 23, ""Materials Science"": 1, ""Neuroscience"": 2}",2026-06-09T20:07:35.697620
W2523714292,64,62,2,5,0.387776052340426,0.0,0.919354838709677,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 57, ""Engineering"": 2, ""Neuroscience"": 1, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.698621
W2412510955,9,8,1,1,0.0,0.0,1.0,"{""Computer Science"": 8}",2026-06-09T20:07:35.698621
W2962897886,33,31,2,3,0.45710229325542906,0.032258064516129004,0.8709677419354831,"{""Computer Science"": 27, ""Decision Sciences"": 1, ""Mathematics"": 3}",2026-06-09T20:07:35.698621
W2554314924,0,0,0,0,,,,{},2026-06-09T20:07:35.698621
W2434014514,21,19,2,7,1.302061391872972,0.052631578947368,0.631578947368421,"{""Computer Science"": 12, ""Decision Sciences"": 1, ""Engineering"": 1, ""Mathematics"": 2, ""Medicine"": 1, ""Physics and Astronomy"": 1, ""Veterinary"": 1}",2026-06-09T20:07:35.698621
W2556467266,23,20,3,3,0.5181862130502121,0.05,0.85,"{""Computer Science"": 17, ""Decision Sciences"": 1, ""Mathematics"": 2}",2026-06-09T20:07:35.698621
W4296979096,0,0,0,0,,,,{},2026-06-09T20:07:35.698621
