work_id,resolved_work_id,status,error_stage,error_detail,reference_count_total,reference_count_with_primary_topic,reference_count_missing_primary_topic,reference_count_unresolved,reference_topic_coverage,reference_field_diversity,reference_entropy,hss_reference_share,cs_core_reference_share,processed_at_utc
W2125389028,,OK,,,15,14,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.697620
W2405756170,,OK,,,37,33,4,,,2,0.13579395875159386,0.0,0.9696969696969697,2026-06-09T20:07:35.697620
W2963226019,,OK,,,23,22,1,,,3,0.36764947740014225,0.0,0.9090909090909091,2026-06-09T20:07:35.697620
W4298289240,W4298289240,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:26:58+00:00
W2467604901,,OK,,,25,24,1,,,3,0.5442837329694394,0.0,0.8333333333333334,2026-06-09T20:07:35.697620
W2577946330,,OK,,,64,53,11,,,4,0.27970417258217267,0.018867924528301886,0.9433962264150944,2026-06-09T20:07:35.697620
W2963090522,,OK,,,34,32,2,,,3,0.6565276849329175,0.0,0.75,2026-06-09T20:07:35.697620
W2546066744,W2546066744,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:26:59+00:00
W2409550820,,OK,,,54,46,8,,,3,0.282600106577289,0.0,0.9347826086956522,2026-06-09T20:07:35.697620
W2521028896,,OK,,,23,19,4,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.697620
W2548275288,,OK,,,30,27,3,,,4,0.5735160760972796,0.0,0.8518518518518519,2026-06-09T20:07:35.697620
W2523714292,,OK,,,64,62,2,,,5,0.3877760523404262,0.0,0.9193548387096774,2026-06-09T20:07:35.698621
W2412510955,,OK,,,9,8,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.698621
W2962897886,,OK,,,33,31,2,,,3,0.4571022932554297,0.03225806451612903,0.8709677419354839,2026-06-09T20:07:35.698621
W2554314924,W2554314924,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:26:59+00:00
W2434014514,,OK,,,21,19,2,,,7,1.3020613918729727,0.05263157894736842,0.631578947368421,2026-06-09T20:07:35.698621
W2556467266,,OK,,,23,20,3,,,3,0.5181862130502128,0.05,0.85,2026-06-09T20:07:35.698621
W4296979096,W4296979096,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:00+00:00
W2527569769,,OK,,,35,31,4,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.698621
W2523469089,,OK,,,34,33,1,,,2,0.13579395875159386,0.0,0.9696969696969697,2026-06-09T20:07:35.698621
W2585630030,,OK,,,25,21,4,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.698621
W2949496494,,OK,,,32,29,3,,,2,0.14999492361041503,0.0,0.9655172413793104,2026-06-09T20:07:35.698621
W2471149695,,OK,,,19,19,0,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.698621
W2280377497,,OK,,,21,16,5,,,2,0.2337916587064593,0.0625,0.9375,2026-06-09T20:07:35.698621
W2566467060,,OK,,,25,25,0,,,4,0.49875846591288275,0.0,0.88,2026-06-09T20:07:35.698621
W2557969682,,OK,,,14,12,2,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.698621
W2556013083,W2556013083,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:01+00:00
W2527819024,,OK,,,27,23,4,,,5,0.7031315809655684,0.043478260869565216,0.8260869565217391,2026-06-09T20:07:35.698621
W2559944883,,OK,,,19,13,6,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.698621
W2949212125,,OK,,,43,38,5,,,3,0.3264420409566655,0.0,0.9210526315789473,2026-06-09T20:07:35.698621
W2952010110,,OK,,,64,54,10,,,2,0.15841057013179086,0.0,0.9629629629629629,2026-06-09T20:07:35.698621
W2519430864,,OK,,,47,42,5,,,5,0.6758585412479124,0.0,0.8333333333333334,2026-06-09T20:07:35.698621
W2567691283,W2567691283,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:01+00:00
W2399306074,,OK,,,25,20,5,,,2,0.1985152433458726,0.0,0.95,2026-06-09T20:07:35.698621
W4293577678,W4293577678,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:02+00:00
W2952038462,,OK,,,16,15,1,,,2,0.6909233093138181,0.0,0.5333333333333333,2026-06-09T20:07:35.698621
W2298457129,,OK,,,28,23,5,,,4,0.5305096302300271,0.043478260869565216,0.8695652173913043,2026-06-09T20:07:35.699623
W2529989861,,OK,,,27,26,1,,,3,0.7902679680745903,0.0,0.6923076923076923,2026-06-09T20:07:35.699623
W2557046619,,OK,,,33,28,5,,,3,0.6161286696018664,0.03571428571428571,0.7857142857142857,2026-06-09T20:07:35.699623
W2561036008,,OK,,,11,7,4,,,2,0.410116318288409,0.0,0.8571428571428571,2026-06-09T20:07:35.699623
W2560169576,,OK,,,14,12,2,,,3,0.5660857389596289,0.0,0.8333333333333334,2026-06-09T20:07:35.699623
W2735970878,W2735970878,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:02+00:00
W2742479045,,OK,,,45,38,7,,,2,0.12169240267806193,0.0,0.9736842105263158,2026-06-09T20:07:35.699623
W2564929713,,OK,,,21,18,3,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W2476099471,,OK,,,14,11,3,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W1666690886,,OK,,,38,36,2,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W2963684088,W2963684088,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:03+00:00
W2557088662,,OK,,,14,12,2,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W4301968192,W4301968192,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:04+00:00
W2412320034,,OK,,,31,29,2,,,2,0.14999492361041503,0.0,0.9655172413793104,2026-06-09T20:07:35.699623
W2549108983,,OK,,,19,17,2,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W2951722763,,OK,,,32,29,3,,,3,0.2987580581893401,0.0,0.9310344827586207,2026-06-09T20:07:35.699623
W2952139859,,OK,,,22,21,1,,,3,0.3805062184775959,0.047619047619047616,0.9047619047619048,2026-06-09T20:07:35.699623
W2951745349,,OK,,,28,25,3,,,3,0.44330669146808716,0.0,0.88,2026-06-09T20:07:35.699623
W4298201114,W4298201114,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:04+00:00
W2215576850,,OK,,,34,33,1,,,5,1.0012446633460492,0.06060606060606061,0.696969696969697,2026-06-09T20:07:35.699623
W2554713816,,OK,,,11,10,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W2338185250,,OK,,,16,16,0,,,3,0.7774621319109288,0.0625,0.6875,2026-06-09T20:07:35.699623
W2952171659,,OK,,,44,41,3,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W2202109488,,OK,,,21,21,0,,,2,0.19144408195771734,0.0,0.9523809523809523,2026-06-09T20:07:35.699623
W2559110679,,OK,,,9,8,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.699623
W2415784353,,OK,,,20,20,0,,,3,1.0397207708399179,0.0,0.25,2026-06-09T20:07:35.699623
W4294620478,W4294620478,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:05+00:00
W2563131459,,OK,,,24,24,0,,,5,1.2014706544729121,0.0,0.4166666666666667,2026-06-09T20:07:35.699623
W2558737541,W2558737541,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:06+00:00
W1531388653,,OK,,,50,47,3,,,5,0.6803852424553566,0.02127659574468085,0.8085106382978723,2026-06-09T20:07:35.700643
W2950447478,,OK,,,6,6,0,,,2,0.45056120886630463,0.0,0.8333333333333334,2026-06-09T20:07:35.700643
W2174037025,,OK,,,13,12,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.700643
W1487641199,,OK,,,48,45,3,,,5,0.6308757053986114,0.044444444444444446,0.8444444444444444,2026-06-09T20:07:35.700643
W1574502566,,OK,,,19,17,2,,,3,0.4437572842601484,0.0,0.8823529411764706,2026-06-09T20:07:35.700643
W2308640704,,OK,,,22,21,1,,,5,0.9532562528406858,0.0,0.7142857142857143,2026-06-09T20:07:35.700643
W2951789542,,OK,,,40,36,4,,,3,0.2530673318741798,0.0,0.9444444444444444,2026-06-09T20:07:35.700643
W2419501139,,OK,,,29,25,4,,,5,0.7668382315802122,0.0,0.8,2026-06-09T20:07:35.700643
W2432004435,W2432004435,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:06+00:00
W2952390294,,OK,,,27,26,1,,,3,0.32450838693107065,0.0,0.9230769230769231,2026-06-09T20:07:35.700643
W3038022805,,OK,,,13,13,0,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.700643
W2747490792,,OK,,,19,14,5,,,2,0.25731864054383163,0.0,0.9285714285714286,2026-06-09T20:07:35.700643
W1565066160,,OK,,,45,44,1,,,7,1.6506781955872984,0.045454545454545456,0.22727272727272727,2026-06-09T20:07:35.700643
W2949099979,,OK,,,34,31,3,,,4,0.5187004385742825,0.0,0.8709677419354839,2026-06-09T20:07:35.700643
W2129069237,,OK,,,45,41,4,,,8,1.1740231747697716,0.04878048780487805,0.6829268292682927,2026-06-09T20:07:35.700643
W834081922,,OK,,,35,33,2,,,6,0.9160825054413518,0.030303030303030304,0.7575757575757576,2026-06-09T20:07:35.700643
W2483814582,,OK,,,15,14,1,,,4,0.8953326659680909,0.0,0.7142857142857143,2026-06-09T20:07:35.700643
W2552611751,,OK,,,12,9,3,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.700643
W2431962807,,OK,,,33,29,4,,,4,0.44624376141549016,0.034482758620689655,0.896551724137931,2026-06-09T20:07:35.700643
W2557665295,,OK,,,8,7,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.700643
W2951996801,,OK,,,53,48,5,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.700643
W2530372461,,OK,,,24,22,2,,,2,0.18490739916777568,0.0,0.9545454545454546,2026-06-09T20:07:35.700643
W592244745,,OK,,,18,17,1,,,2,0.22371807606583377,0.0,0.9411764705882353,2026-06-09T20:07:35.701645
W2949343725,,OK,,,1,1,0,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.701645
W2552465432,,OK,,,31,28,3,,,4,0.9724514629072174,0.0,0.6428571428571429,2026-06-09T20:07:35.701645
W2511691466,,OK,,,13,12,1,,,2,0.2868359830561607,0.0,0.9166666666666666,2026-06-09T20:07:35.701645
W2963250052,W2963250052,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:07+00:00
W2559991484,,OK,,,29,26,3,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.701645
W2565378226,,OK,,,11,10,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.701645
W2537458122,W2537458122,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:07+00:00
W2952054472,,OK,,,29,27,2,,,2,0.2640520518256287,0.0,0.9259259259259259,2026-06-09T20:07:35.701645
W4302343661,W4302343661,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:08+00:00
W2464234964,,OK,,,18,17,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:35.701645
W2560512785,W2560512785,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:09+00:00
W1779483307,W1779483307,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:09+00:00
W2259643685,W2259643685,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:10+00:00
W2561050497,W2561050497,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:11+00:00
W2951021768,,OK,,,42,40,2,,,3,0.23317260237386989,0.0,0.95,2026-06-09T20:07:51.793950
W2562221994,W2562221994,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:11+00:00
W2530741948,,OK,,,47,43,4,,,7,1.099268910064456,0.06976744186046512,0.6511627906976745,2026-06-09T20:07:51.795428
W2412589713,,OK,,,22,16,6,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.795428
W2963501406,W2963501406,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:12+00:00
W2439880944,,OK,,,28,26,2,,,6,1.0961035991320138,0.038461538461538464,0.6538461538461539,2026-06-09T20:07:51.795428
W2950338739,W2950338739,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:13+00:00
W2176035349,,OK,,,27,23,4,,,5,1.0259158403119248,0.0,0.6956521739130435,2026-06-09T20:07:51.795428
W2416272112,,OK,,,14,13,1,,,3,0.5359610497090694,0.07692307692307693,0.8461538461538461,2026-06-09T20:07:51.795428
W2269752429,,OK,,,14,11,3,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.795428
W2559626456,,OK,,,19,15,4,,,3,0.48509409130221154,0.0,0.8666666666666667,2026-06-09T20:07:51.795428
W2469266052,,OK,,,32,29,3,,,4,0.7919327952430184,0.0,0.7241379310344828,2026-06-09T20:07:51.795428
W2558647090,,OK,,,19,15,4,,,2,0.24493002679463532,0.0,0.9333333333333333,2026-06-09T20:07:51.795428
W2554506842,W2554506842,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:13+00:00
W2951733136,,OK,,,31,31,0,,,4,0.7499625679061093,0.0,0.7741935483870968,2026-06-09T20:07:51.795428
W2302243225,,OK,,,7,7,0,,,2,0.5982695885852573,0.0,0.7142857142857143,2026-06-09T20:07:51.795428
W2950025457,,OK,,,29,28,1,,,3,0.7982042955798663,0.0,0.6785714285714286,2026-06-09T20:07:51.795428
W2572816092,W2572816092,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:14+00:00
W2196707239,,OK,,,34,31,3,,,4,0.5950727898218281,0.0,0.8387096774193549,2026-06-09T20:07:51.795428
W2795910581,,OK,,,215,199,16,,,7,0.818394765097096,0.0,0.7035175879396985,2026-06-09T20:07:51.796426
W2564755245,,OK,,,18,17,1,,,2,0.22371807606583377,0.0,0.9411764705882353,2026-06-09T20:07:51.796426
W2950671334,,OK,,,25,23,2,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.796426
W2558578635,,OK,,,27,24,3,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.796426
W284754667,,OK,,,2,2,0,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.796426
W2584667682,,OK,,,16,15,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.796426
W2599043313,W2599043313,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:14+00:00
W1544557312,W1544557312,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:15+00:00
W2558687333,,OK,,,26,21,5,,,3,0.5010469137590966,0.0,0.8571428571428571,2026-06-09T20:07:51.796426
W2294780673,,OK,,,30,26,4,,,3,0.32450838693107065,0.0,0.9230769230769231,2026-06-09T20:07:51.796426
W2951538594,,OK,,,53,49,4,,,3,0.19882157810301943,0.02040816326530612,0.9591836734693877,2026-06-09T20:07:51.796426
W2951652470,,OK,,,27,21,6,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.796426
W2428952132,,OK,,,28,26,2,,,4,0.48439011623800354,0.0,0.8846153846153846,2026-06-09T20:07:51.796426
W1852909287,,OK,,,40,38,2,,,6,1.0456460987720806,0.02631578947368421,0.6578947368421053,2026-06-09T20:07:51.796426
W2560678327,,OK,,,17,13,4,,,2,0.2711893730418441,0.0,0.9230769230769231,2026-06-09T20:07:51.796426
W4300111288,W4300111288,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:16+00:00
W2287889828,,OK,,,58,54,4,,,2,0.0922160573371918,0.0,0.9814814814814815,2026-06-09T20:07:51.796426
W2275365310,,OK,,,46,36,10,,,4,0.3783870071118365,0.0,0.9166666666666666,2026-06-09T20:07:51.796426
W2534135591,,OK,,,41,35,6,,,3,0.5062608421468742,0.0,0.8571428571428571,2026-06-09T20:07:51.796426
W4294575421,W4294575421,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:16+00:00
W1956526898,,OK,,,29,27,2,,,2,0.15841057013179086,0.0,0.9629629629629629,2026-06-09T20:07:51.796426
W2559978439,,OK,,,26,22,4,,,2,0.18490739916777568,0.045454545454545456,0.9545454545454546,2026-06-09T20:07:51.796426
W2537265010,,OK,,,20,17,3,,,4,0.7902347553432827,0.058823529411764705,0.7647058823529411,2026-06-09T20:07:51.797557
W2562887561,,OK,,,28,27,1,,,3,0.4195558923202333,0.0,0.8888888888888888,2026-06-09T20:07:51.797557
W2100820448,,OK,,,35,33,2,,,5,0.9331421646461759,0.0,0.7272727272727273,2026-06-09T20:07:51.797557
W2343436474,,OK,,,31,27,4,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.797557
W2950428484,,OK,,,28,27,1,,,2,0.34883209584303193,0.1111111111111111,0.8888888888888888,2026-06-09T20:07:51.797557
W2241785942,,OK,,,32,31,1,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.797557
W2584471052,,OK,,,14,10,4,,,2,0.3250829733914482,0.0,0.9,2026-06-09T20:07:51.797557
W2147591838,,OK,,,31,31,0,,,2,0.1425058673927378,0.0,0.967741935483871,2026-06-09T20:07:51.797557
W2174412056,,OK,,,28,25,3,,,4,0.7113864571354167,0.08,0.8,2026-06-09T20:07:51.797557
W2555417674,,OK,,,12,10,2,,,1,0.0,0.0,1.0,2026-06-09T20:07:51.797557
W2950011704,,OK,,,15,14,1,,,4,0.7549967581308246,0.0,0.7857142857142857,2026-06-09T20:07:51.797557
W2952250911,,OK,,,20,20,0,,,3,0.39439769144744274,0.0,0.9,2026-06-09T20:07:51.797557
W2564726951,,OK,,,19,17,2,,,2,0.22371807606583377,0.0,0.9411764705882353,2026-06-09T20:07:51.797557
W2532488433,W2532488433,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:17+00:00
W2511279186,,OK,,,45,41,4,,,6,0.5670676329379674,0.024390243902439025,0.8780487804878049,2026-06-09T20:07:51.797557
