clean_work_id,stage,year,Reference_Count,InternalRef_Total,InternalRef_Matched,InternalRef_HSS_Matched,InternalRef_Coverage,HSS_Reference_Share_Internal_MatchedBase,HSS_Reference_Share_Internal_TotalBase,RefMeta_Total,RefMeta_Matched,RefMeta_Coverage,Mean_Reference_Age,Median_Reference_Age,Recent_Reference_Share_3y,Mean_Log_Ref_Citations,Median_Log_Ref_Citations
W2125389028,Phase1,2014,15,15.0,2.0,1.0,0.13333333333333333,0.5,0.06666666666666667,15.0,2.0,0.13333333333333333,0.0,0.0,1.0,8.163496218675274,8.163496218675274
W2405756170,Phase1,2016,37,37.0,5.0,1.0,0.13513513513513514,0.2,0.02702702702702703,37.0,5.0,0.13513513513513514,1.25,1.5,1.0,8.373062671644885,8.940629184845639
W2963226019,Phase1,2016,23,23.0,2.0,1.0,0.08695652173913043,0.5,0.043478260869565216,23.0,2.0,0.08695652173913043,0.5,0.5,1.0,6.947401107219343,6.947401107219343
W4298289240,Phase1,2014,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2467604901,Phase1,2016,25,25.0,3.0,1.0,0.12,0.3333333333333333,0.04,25.0,3.0,0.12,1.3333333333333333,2.0,1.0,6.850921673039042,7.003065458786462
W2577946330,Phase1,2016,64,64.0,23.0,11.0,0.359375,0.4782608695652174,0.171875,64.0,23.0,0.359375,0.3888888888888889,0.0,1.0,6.524792795879669,6.559615237493242
W2963090522,Phase1,2015,34,34.0,2.0,0.0,0.058823529411764705,0.0,0.0,34.0,2.0,0.058823529411764705,1.0,1.0,1.0,7.165094375522877,7.165094375522877
W2546066744,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2409550820,Phase1,2016,54,54.0,11.0,5.0,0.2037037037037037,0.45454545454545453,0.09259259259259259,54.0,11.0,0.2037037037037037,0.7777777777777778,1.0,1.0,6.892255650261976,6.089044875446846
W2521028896,Phase1,2016,23,23.0,6.0,3.0,0.2608695652173913,0.5,0.13043478260869565,23.0,6.0,0.2608695652173913,0.75,1.0,1.0,7.811830071807576,8.132070557473
W2548275288,Phase1,2016,30,30.0,13.0,7.0,0.43333333333333335,0.5384615384615384,0.23333333333333334,30.0,13.0,0.43333333333333335,0.7272727272727273,0.0,1.0,6.74796176714296,6.776506992372183
W2523714292,Phase1,2016,64,64.0,9.0,4.0,0.140625,0.4444444444444444,0.0625,64.0,9.0,0.140625,0.4,0.0,1.0,7.293436673385525,7.4127640174265625
W2412510955,Phase1,2016,9,9.0,4.0,1.0,0.4444444444444444,0.25,0.1111111111111111,9.0,4.0,0.4444444444444444,1.5,1.5,1.0,8.30916372564177,8.36627964987327
W2962897886,Phase1,2014,33,33.0,0.0,0.0,0.0,,0.0,33.0,0.0,0.0,,,,,
W2554314924,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2434014514,Phase1,2016,21,21.0,1.0,0.0,0.047619047619047616,0.0,0.0,21.0,1.0,0.047619047619047616,,,,9.986633133622798,9.986633133622798
W2556467266,Phase1,2016,23,23.0,7.0,4.0,0.30434782608695654,0.5714285714285714,0.17391304347826086,23.0,7.0,0.30434782608695654,0.42857142857142855,0.0,1.0,5.869277676844638,5.82600010738045
W4296979096,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2527569769,Phase1,2016,35,35.0,4.0,1.0,0.11428571428571428,0.25,0.02857142857142857,35.0,4.0,0.11428571428571428,1.6666666666666667,2.0,1.0,7.536495938141645,8.41184734220997
W2523469089,Phase1,2016,34,34.0,7.0,4.0,0.20588235294117646,0.5714285714285714,0.11764705882352941,34.0,7.0,0.20588235294117646,1.0,1.0,1.0,7.5687209004197795,8.166500319155052
W2585630030,Phase1,2016,25,25.0,16.0,10.0,0.64,0.625,0.4,25.0,16.0,0.64,0.26666666666666666,0.0,1.0,6.4040879677034415,6.688305859884663
W2949496494,Phase1,2016,32,32.0,13.0,6.0,0.40625,0.46153846153846156,0.1875,32.0,13.0,0.40625,0.36363636363636365,0.0,1.0,7.112591175183831,6.98933526597456
W2471149695,Phase1,2016,19,19.0,6.0,2.0,0.3157894736842105,0.3333333333333333,0.10526315789473684,19.0,6.0,0.3157894736842105,1.4,1.0,1.0,8.038093903057526,8.1766966011361
W2280377497,Phase1,2016,21,21.0,3.0,2.0,0.14285714285714285,0.6666666666666666,0.09523809523809523,21.0,3.0,0.14285714285714285,1.0,1.0,1.0,7.092124964648895,7.881182202227102
W2566467060,Phase1,2016,25,25.0,10.0,5.0,0.4,0.5,0.2,25.0,10.0,0.4,0.0,0.0,1.0,6.365145106088622,6.184350784489196
W2557969682,Phase1,2016,14,14.0,2.0,2.0,0.14285714285714285,1.0,0.14285714285714285,14.0,2.0,0.14285714285714285,1.0,1.0,1.0,9.254450085477828,9.254450085477828
W2556013083,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2527819024,Phase1,2016,27,27.0,10.0,6.0,0.37037037037037035,0.6,0.2222222222222222,27.0,10.0,0.37037037037037035,0.6,0.0,1.0,6.604037045429223,6.539400064539344
W2559944883,Phase1,2016,19,19.0,3.0,2.0,0.15789473684210525,0.6666666666666666,0.10526315789473684,19.0,3.0,0.15789473684210525,1.0,1.0,1.0,7.144346555179652,7.881182202227102
W2949212125,Phase1,2016,43,43.0,7.0,3.0,0.16279069767441862,0.42857142857142855,0.06976744186046512,43.0,7.0,0.16279069767441862,0.2,0.0,1.0,7.491889628408452,8.680162019694377
W2952010110,Phase1,2016,64,64.0,21.0,7.0,0.328125,0.3333333333333333,0.109375,64.0,21.0,0.328125,0.5294117647058824,0.0,1.0,6.505442245023866,6.794586580876499
W2519430864,Phase1,2016,47,47.0,7.0,3.0,0.14893617021276595,0.42857142857142855,0.06382978723404255,47.0,7.0,0.14893617021276595,0.6666666666666666,0.5,1.0,5.279524748463919,5.4510384535657
W2567691283,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2399306074,Phase1,2016,25,25.0,8.0,4.0,0.32,0.5,0.16,25.0,8.0,0.32,1.0,1.0,1.0,5.752967634878194,5.412621661920671
W4293577678,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2952038462,Phase1,2016,16,16.0,1.0,1.0,0.0625,1.0,0.0625,16.0,1.0,0.0625,1.0,1.0,1.0,8.851377097519439,8.851377097519439
W2298457129,Phase1,2016,28,28.0,3.0,2.0,0.10714285714285714,0.6666666666666666,0.07142857142857142,28.0,3.0,0.10714285714285714,1.3333333333333333,1.0,1.0,5.79992825556251,7.003065458786462
W2529989861,Phase1,2016,27,27.0,7.0,2.0,0.25925925925925924,0.2857142857142857,0.07407407407407407,27.0,7.0,0.25925925925925924,1.25,1.0,1.0,8.004446797832378,8.851377097519439
W2557046619,Phase1,2016,33,33.0,6.0,2.0,0.18181818181818182,0.3333333333333333,0.06060606060606061,33.0,6.0,0.18181818181818182,0.4,0.0,1.0,7.009160284093028,6.62489257210831
W2561036008,Phase1,2016,11,11.0,2.0,1.0,0.18181818181818182,0.5,0.09090909090909091,11.0,2.0,0.18181818181818182,1.0,1.0,1.0,8.132070557473,8.132070557473
W2560169576,Phase1,2016,14,14.0,5.0,3.0,0.35714285714285715,0.6,0.21428571428571427,14.0,5.0,0.35714285714285715,0.5,0.5,1.0,7.992259066628331,7.4127640174265625
W2735970878,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2742479045,Phase1,2016,45,45.0,9.0,4.0,0.2,0.4444444444444444,0.08888888888888889,45.0,9.0,0.2,0.5714285714285714,0.0,1.0,8.082540721736258,7.4127640174265625
W2564929713,Phase1,2016,21,21.0,7.0,4.0,0.3333333333333333,0.5714285714285714,0.19047619047619047,21.0,7.0,0.3333333333333333,0.8,1.0,1.0,7.743927193423326,7.8547691834991324
W2476099471,Phase1,2016,14,14.0,4.0,2.0,0.2857142857142857,0.5,0.14285714285714285,14.0,4.0,0.2857142857142857,0.5,0.5,1.0,7.440749486453015,7.230575213074223
W1666690886,Phase1,2015,38,38.0,3.0,0.0,0.07894736842105263,0.0,0.0,38.0,3.0,0.07894736842105263,1.0,1.0,1.0,8.105607294889518,7.327123292259293
W2963684088,Phase1,2015,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2557088662,Phase1,2016,14,14.0,4.0,2.0,0.2857142857142857,0.5,0.14285714285714285,14.0,4.0,0.2857142857142857,0.3333333333333333,0.0,1.0,7.442348717621684,7.822981839197968
W4301968192,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2412320034,Phase1,2016,31,31.0,4.0,2.0,0.12903225806451613,0.5,0.06451612903225806,31.0,4.0,0.12903225806451613,1.3333333333333333,1.0,1.0,8.626631663762513,8.553564752000344
W2549108983,Phase1,2016,19,19.0,8.0,5.0,0.42105263157894735,0.625,0.2631578947368421,19.0,8.0,0.42105263157894735,0.42857142857142855,0.0,1.0,7.719326675591236,7.088441177200959
W2951722763,Phase1,2016,32,32.0,7.0,4.0,0.21875,0.5714285714285714,0.125,32.0,7.0,0.21875,0.8,1.0,1.0,6.4675026653773955,6.4967749901858625
W2952139859,Phase1,2016,22,22.0,1.0,0.0,0.045454545454545456,0.0,0.0,22.0,1.0,0.045454545454545456,,,,9.986633133622798,9.986633133622798
W2951745349,Phase1,2016,28,28.0,4.0,2.0,0.14285714285714285,0.5,0.07142857142857142,28.0,4.0,0.14285714285714285,1.0,1.0,1.0,8.186887309688665,8.132070557473
W4298201114,Phase1,2015,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2215576850,Phase1,2015,34,34.0,1.0,0.0,0.029411764705882353,0.0,0.0,34.0,1.0,0.029411764705882353,,,,10.144235237798695,10.144235237798695
W2554713816,Phase1,2016,11,11.0,2.0,0.0,0.18181818181818182,0.0,0.0,11.0,2.0,0.18181818181818182,1.0,1.0,1.0,6.666110327896401,6.666110327896401
W2338185250,Phase1,2016,16,16.0,3.0,0.0,0.1875,0.0,0.0,16.0,3.0,0.1875,1.0,1.0,1.0,7.08015466099772,5.752572638825633
W2952171659,Phase1,2016,44,44.0,10.0,6.0,0.22727272727272727,0.6,0.13636363636363635,44.0,10.0,0.22727272727272727,0.125,0.0,1.0,7.357357255230885,7.153605732300528
W2202109488,Phase1,2015,21,21.0,6.0,3.0,0.2857142857142857,0.5,0.14285714285714285,21.0,6.0,0.2857142857142857,0.6666666666666666,1.0,1.0,7.507071834297861,7.646973109826832
W2559110679,Phase1,2016,9,9.0,4.0,1.0,0.4444444444444444,0.25,0.1111111111111111,9.0,4.0,0.4444444444444444,0.5,0.5,1.0,7.31724582531891,7.322387174545661
W2415784353,Phase1,2016,20,20.0,0.0,0.0,0.0,,0.0,20.0,0.0,0.0,,,,,
W4294620478,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2563131459,Phase1,2016,24,24.0,2.0,1.0,0.08333333333333333,0.5,0.041666666666666664,24.0,2.0,0.08333333333333333,1.0,1.0,1.0,9.419005115571117,9.419005115571117
W2558737541,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W1531388653,Phase1,2015,50,50.0,2.0,0.0,0.04,0.0,0.0,50.0,2.0,0.04,0.5,0.5,1.0,6.260259177625585,6.260259177625585
W2950447478,Phase1,2016,6,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,,,,,
W2174037025,Phase1,2015,13,13.0,1.0,0.0,0.07692307692307693,0.0,0.0,13.0,1.0,0.07692307692307693,,,,9.986633133622798,9.986633133622798
W1487641199,Phase1,2015,48,48.0,4.0,1.0,0.08333333333333333,0.25,0.020833333333333332,48.0,4.0,0.08333333333333333,1.0,1.0,1.0,8.418103572273058,8.341357848341486
W1574502566,Phase1,2015,19,19.0,4.0,2.0,0.21052631578947367,0.5,0.10526315789473684,19.0,4.0,0.21052631578947367,0.75,1.0,1.0,6.410487649772001,7.291357283256479
W2308640704,Phase1,2016,22,22.0,0.0,0.0,0.0,,0.0,22.0,0.0,0.0,,,,,
W2951789542,Phase1,2016,40,40.0,3.0,0.0,0.075,0.0,0.0,40.0,3.0,0.075,1.0,1.0,1.0,6.200026271618711,5.4510384535657
W2419501139,Phase1,2016,29,29.0,4.0,1.0,0.13793103448275862,0.25,0.034482758620689655,29.0,4.0,0.13793103448275862,1.3333333333333333,1.0,1.0,8.055112660978516,8.36627964987327
W2432004435,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2952390294,Phase1,2016,27,27.0,3.0,1.0,0.1111111111111111,0.3333333333333333,0.037037037037037035,27.0,3.0,0.1111111111111111,1.0,1.0,1.0,8.254486227143763,7.881182202227102
W3038022805,Phase1,2015,13,13.0,4.0,0.0,0.3076923076923077,0.0,0.0,13.0,4.0,0.3076923076923077,0.6666666666666666,1.0,1.0,7.564248284347246,7.165094375522877
W2747490792,Phase1,2016,19,19.0,6.0,3.0,0.3157894736842105,0.5,0.15789473684210525,19.0,6.0,0.3157894736842105,0.6,0.0,1.0,5.897975942681117,6.085960531299642
W1565066160,Phase1,2014,45,45.0,0.0,0.0,0.0,,0.0,45.0,0.0,0.0,,,,,
