term,coef,se,p_value,y_var,y_label,moderator,moderator_label,model_type,n_obs,formula
Intercept,-0.315311050315937,0.1266992654416477,0.01282265039511768,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2015],0.01781717418257456,0.12847522184851717,0.8897016057659652,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2016],0.05401659552957751,0.11506182500276911,0.6387429122144719,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2017],0.056639106394072485,0.11144952174161483,0.6113102001102855,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2018],0.0406164664946018,0.11093790485059853,0.7142763361598181,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2019],-0.00608084686560183,0.11076235197328971,0.956218176890705,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2020],-0.040037410399337496,0.11062012274643696,0.7173998188208179,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2021],-0.0407675414861041,0.11057132560589321,0.7123520651687212,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2022],0.31441717408383485,0.11159167888695513,0.004838882568606638,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2023],0.29826875690241816,0.1107536466316682,0.007079465417057595,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
C(year)[T.2024],0.3081073160836253,0.11069167885863217,0.005378031354060975,Log_RCR,Log_RCR_p,reference_field_diversity,参考文献学科数量,OLS,56800,Log_RCR ~ HSS_Continuous * reference_field_diversity + log_team_size + log_prior_knowledge + C(year) + C(arxiv_primary_category)
