variable,role,n_non_missing,missing_rate,n_unique,mean,std,min,p25,median,p75,max,top5_values
HSS_Continuous,numeric,138829,0.0,5889,0.6828379805372077,1.282056169777464,0.0,0.0,0.0,0.807,10.001,
Log_RCR,numeric,138829,0.0,1694,0.25518901448080067,0.5692300688434178,0.0,0.0,0.0,0.2131453071521793,8.460806117209025,
Hit_Rate_10_year_cat,numeric,138829,0.0,2,0.4556036562965951,0.4980268579680785,0.0,0.0,0.0,1.0,1.0,
Citation_Field_Diversity,numeric,138742,0.0006266702201989497,17,1.8976733793660174,3.4698377321997516,0.0,0.0,0.0,3.0,16.0,
HSS_Citing_Share,numeric,138742,0.0006266702201989497,3108,0.07601753820699288,0.15866674614256526,0.0,0.0,0.0,0.0,1.0,
Citation_Entropy,numeric,138742,0.0006266702201989497,11245,0.44257738129395807,0.713829695564443,0.0,0.0,0.0,1.0114042647073516,2.5441943607544983,
reference_field_diversity,numeric,56800,0.5908635803758581,17,0.6934154929577465,1.449169489490686,0.0,0.0,0.0,1.0,22.0,
reference_entropy,numeric,15845,0.8858667857580188,3645,0.3752268948789635,0.39844105531502305,0.0,0.0,0.2477508274515358,0.6365141682948128,2.013822926703922,
hss_reference_share,numeric,15845,0.8858667857580188,580,0.031220344393197878,0.09175731417444159,0.0,0.0,0.0,0.0227272727272727,1.0,
cs_core_reference_share,numeric,15845,0.8858667857580188,1104,0.7403504536734686,0.33021111722779356,0.0,0.6,0.9056603773584906,0.9803921568627452,1.0,
log_team_size,numeric,138829,0.0,94,1.7047024271211175,0.4750451497270031,0.6931471805599453,1.3862943611198906,1.791759469228055,1.9459101490553128,4.61512051684126,
log_prior_knowledge,numeric,138829,0.0,1049,3.8203240763980153,1.2866550193085888,0.6931471805599453,2.9444389791664403,3.8918202981106265,4.77912349311153,8.12296471523406,
year,numeric,138829,0.0,13,2023.5652421324075,2.0011419496556933,2014.0,2023.0,2024.0,2025.0,2026.0,
team_hss_dna_pct,numeric,138829,0.0,5889,6.828379805372078,12.82056169777464,0.0,0.0,0.0,8.07,100.01,
Hit_Rate_10_year,numeric,138829,0.0,2,0.4569434340087446,0.4981444765936925,0.0,0.0,0.0,1.0,1.0,
reference_topic_coverage,numeric,1200,0.9913562728248421,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
arxiv_primary_category,category,138829,0.0,135,,,,,,,,"{'cs.CL': 39132, 'cs.CV': 34418, 'cs.LG': 20604, 'cs.AI': 8465, 'cs.SE': 3452}"
HSS_Bin,category,138824,3.6015529896491364e-05,5,,,,,,,,"{'Pure STEM': 69567, 'Low HSS': 54706, 'Medium HSS': 10125, 'High HSS': 2745, 'HSS-dominant': 1681}"
stage,category,138829,0.0,3,,,,,,,,"{'Phase3': 118161, 'Phase2': 20248, 'Phase1': 420}"
arxiv_type,category,138829,0.0,4,,,,,,,,"{'Type 0 (Pure CS)': 114893, 'Type 1 (Engineering)': 17904, 'Type 2 (Science)': 5256, 'Type 3 (HSS)': 776}"
