学科名称,学科分类,Phase 1 引用量,Phase 2 引用量,Phase 3 引用量,总跨界引用量
Mathematics,理工农医 (STEM),59370,540696,285785,885851
Physics,理工农医 (STEM),49780,478532,213389,741701
Engineering,理工农医 (STEM),39289,381316,289512,710117
Philosophy,人文社科 (HSS),41155,389459,238250,668864
Biology,理工农医 (STEM),56321,362219,177414,595954
Chemistry,理工农医 (STEM),55476,318457,138116,512049
Medicine,理工农医 (STEM),43641,245706,171310,460657
Psychology,人文社科 (HSS),22461,197213,240954,460628
Political science,人文社科 (HSS),23554,185607,154765,363926
Economics,人文社科 (HSS),26702,222808,105019,354529
Geography,人文社科 (HSS),19426,196969,126321,342716
Sociology,人文社科 (HSS),14572,110470,118251,243293
Geology,理工农医 (STEM),9940,128605,97624,236169
Materials science,理工农医 (STEM),12321,128623,77999,218943
Business,人文社科 (HSS),6351,72505,104285,183141
Art,人文社科 (HSS),10116,90940,68816,169872
Environmental science,理工农医 (STEM),2445,46930,50653,100028
History,人文社科 (HSS),6874,44508,36193,87575
Computer science,理工农医 (STEM),10715,25610,11480,47805
