model_name,model_type,sample_name,formula,term,coef,std_err,stat,p_value,ci_low,ci_high,nobs,aic,bic,rsquared,rsquared_adj
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),Intercept,0.854732813218549,0.07010865432194725,12.191544988062594,3.4482131342180567e-34,0.717322375742964,0.992143250694134,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(stage)[T.Phase2],-0.17682768881494823,0.016281547176594382,-10.860619503602688,1.775406565319233e-27,-0.20873893489366302,-0.14491644273623344,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(stage)[T.Phase3],-0.5458661634132411,0.016068459160700873,-33.971282370887366,5.917085633776485e-253,-0.5773597646552675,-0.5143725621712147,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(arxiv_primary_category)[T.astro-ph.EP],-0.24675245807261464,0.09907315753071794,-2.4906085989649447,0.01275245167141396,-0.440932278667485,-0.052572637477744266,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(arxiv_primary_category)[T.astro-ph.GA],-0.1547679856684146,0.08914565141246798,-1.736124905883728,0.08254175145971658,-0.3294902518152141,0.01995428047838485,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(arxiv_primary_category)[T.astro-ph.HE],-0.1679678113422327,0.1411115230560014,-1.1903195976105592,0.233920800968617,-0.4445413143355889,0.10860569165112349,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(arxiv_primary_category)[T.astro-ph.IM],-0.17337126887690005,0.07594502256640683,-2.2828522925949897,0.022439070475421444,-0.3222207779121391,-0.024521759841660995,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(arxiv_primary_category)[T.astro-ph.SR],-0.2739761114851147,0.09583271160432118,-2.85889971074095,0.004251131605075839,-0.46180477477039794,-0.08614744819983147,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(arxiv_primary_category)[T.cond-mat.dis-nn],-0.20708306337960286,0.09376604475702713,-2.208508036317522,0.02720887822991792,-0.39086113407614675,-0.02330499268305894,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
S6_AnyNonCSCiter_Continuous_LPM,ols,main,Any_NonCS_Citer ~ HSS_Continuous + has_hss_concepts + log_team_size + log_prior_knowledge + HSS_Diversity + C(stage) + C(arxiv_primary_category),C(arxiv_primary_category)[T.cond-mat.mes-hall],-0.3235713813517337,0.09426477553804015,-3.4325799802192054,0.0005978675129443068,-0.5083269464170447,-0.1388158162864227,138824.0,153186.94516025373,154584.36179588712,0.17897233974829885,0.17813758902293086
