primary_origin_field,2022,2023,2024,2025,2026,Phase3_Total
Computer Science,29398,50051,82184,122329,81358,365320
Engineering,15206,23499,41211,61592,17956,159464
Medicine,5878,15711,27502,43707,11352,104150
Social Sciences,1567,4746,9620,16158,5831,37922
"Biochemistry, Genetics and Molecular Biology",2200,4531,8211,13387,3911,32240
Physics and Astronomy,1923,2992,6103,10977,2980,24975
Environmental Science,1302,2645,5031,8512,3088,20578
Materials Science,1352,2420,4657,7616,1595,17640
Psychology,524,1513,3326,6180,3273,14816
Agricultural and Biological Sciences,803,1660,3534,6687,1354,14038
Neuroscience,1038,2025,3335,5415,1989,13802
"Business, Management and Accounting",384,1564,3456,5675,1298,12377
Earth and Planetary Sciences,777,1328,2423,3556,1303,9387
Decision Sciences,296,846,2066,3295,1312,7815
Arts and Humanities,388,812,1701,2813,768,6482
"Economics, Econometrics and Finance",319,822,1583,2713,554,5991
Health Professions,160,594,1452,2445,885,5536
Chemistry,370,694,1434,2303,411,5212
Mathematics,397,743,1195,1881,484,4700
Energy,257,478,873,1510,414,3532
Immunology and Microbiology,139,270,630,1074,161,2274
Dentistry,107,329,541,1000,221,2198
Chemical Engineering,50,67,129,219,78,543
"Pharmacology, Toxicology and Pharmaceutics",36,67,161,236,42,542
Nursing,25,60,128,233,42,488
Veterinary,14,21,42,90,21,188
