variable,n_non_missing,mean,std,min,p25,median,p75,max
N_total,138829,138829.0,,,,,,
N_mechanism_sample,14236,14236.0,,,,,,
_hss_main,138829,6.828379805372078,12.82056169777464,0.0,0.0,0.0,8.07,100.01
usable_for_composition_analysis,138829,0.10254341672129022,0.3033626992603582,0.0,0.0,0.0,0.0,1.0
has_any_openalex_metrics,138829,0.4084161090262121,0.49154260373470693,0.0,0.0,0.0,1.0,1.0
log_team_size,138829,1.7047024271211175,0.4750451497270031,0.6931471805599453,1.3862943611198906,1.791759469228055,1.9459101490553128,4.61512051684126
log_prior_knowledge,138829,3.8203240763980153,1.2866550193085888,0.6931471805599453,2.9444389791664403,3.8918202981106265,4.77912349311153,8.12296471523406
_log_refcount,56700,0.8580921018958206,1.4908205373853787,0.0,0.0,0.0,1.9459101490553128,6.999422467507961
openalex_reference_field_diversity,14236,2.728715931441416,1.6710157711906066,1.0,1.0,2.0,4.0,22.0
openalex_reference_entropy,14236,0.4120581728789612,0.3992302841249206,0.0,0.0,0.302454926748216,0.6733167405993721,2.013822926703922
hss_share_among_matched_refs,14236,0.03340847313689838,0.09188397044694781,0.0,0.0,0.0,0.028571428571428,1.0
cs_share_among_matched_refs,14236,0.8027373985053928,0.2594732184474003,0.0,0.7212161646969119,0.923076923076923,1.0,1.0
