work_id,team_hss_dna_pct,_hss_main,year,arxiv_primary_category,log_team_size,log_prior_knowledge,has_any_openalex_metrics,usable_for_composition_analysis,log1p_openalex_matched_reference_count,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs
W2125389028,0.0,0.0,2014,cs.LG,1.0986122886681098,2.995732273553991,1,1,2.772588722239781,1.0,0.0,0.0,1.0
W2405756170,0.0,0.0,2016,cs.NE,1.9459101490553128,5.755742213586912,1,1,3.6375861597263857,2.0,0.135793958751593,0.0,0.9696969696969692
W2963226019,2.05,2.05,2016,cs.LG,1.9459101490553128,4.962844630259907,1,1,3.1780538303479458,3.0,0.367649477400142,0.0,0.9090909090909092
W4298289240,1.56,1.56,2014,stat.ML,2.19722457733622,5.638354669333745,1,0,0.0,,,,
W2467604901,0.0,0.0,2016,stat.ML,0.6931471805599453,2.6390573296152584,1,1,3.258096538021482,3.0,0.544283732969439,0.0,0.833333333333333
W2577946330,0.0,0.0,2016,cs.LG,0.6931471805599453,2.8903717578961645,1,1,4.174387269895637,4.0,0.279704172582172,0.018867924528301,0.943396226415094
W2963090522,5.88,5.88,2015,stat.ML,1.0986122886681098,3.9318256327243257,1,1,3.555348061489413,3.0,0.656527684932917,0.0,0.75
W2546066744,6.13,6.13,2016,cs.CV,1.791759469228055,5.442417710521793,1,0,0.0,,,,
W2409550820,0.0,0.0,2016,cs.LG,1.3862943611198906,4.174387269895637,1,1,4.007333185232471,3.0,0.282600106577289,0.0,0.934782608695652
W2521028896,0.0,0.0,2016,cs.LG,1.3862943611198906,4.382026634673881,1,1,3.1780538303479458,1.0,0.0,0.0,1.0
W2548275288,4.17,4.17,2016,stat.ML,1.3862943611198906,3.737669618283368,1,1,3.4339872044851463,4.0,0.5735160760972791,0.0,0.8518518518518511
W2523714292,1.25,1.25,2016,cs.CV,2.4849066497880004,4.430816798843313,1,1,4.174387269895637,5.0,0.387776052340426,0.0,0.919354838709677
W2412510955,0.0,0.0,2016,stat.ML,0.6931471805599453,3.1354942159291497,1,1,2.302585092994046,1.0,0.0,0.0,1.0
W2962897886,3.92,3.92,2014,stat.ML,1.3862943611198906,4.060443010546419,1,1,3.5263605246161616,3.0,0.457102293255429,0.032258064516129,0.8709677419354831
W2554314924,0.0,0.0,2016,cs.LG,1.6094379124341005,4.07753744390572,1,0,0.0,,,,
W2434014514,0.0,0.0,2016,cs.LG,1.0986122886681098,5.043425116919247,1,1,3.091042453358316,7.0,1.302061391872972,0.052631578947368,0.631578947368421
W2556467266,1.61,1.61,2016,cs.LG,2.079441541679836,3.8918202981106265,1,1,3.1780538303479458,3.0,0.5181862130502121,0.05,0.85
W4296979096,0.0,0.0,2016,cs.CV,2.079441541679836,6.352629396319567,1,0,0.0,,,,
W2527569769,0.0,0.0,2016,stat.ML,2.079441541679836,6.133398042996649,1,1,3.58351893845611,1.0,0.0,0.0,1.0
W2523469089,0.0,0.0,2016,cs.LG,1.6094379124341005,5.755742213586912,1,1,3.555348061489413,2.0,0.135793958751593,0.0,0.9696969696969692
W2585630030,0.0,0.0,2016,cs.LG,1.791759469228055,5.68697535633982,1,1,3.258096538021482,1.0,0.0,0.0,1.0
W2949496494,3.96,3.96,2016,cs.CV,1.9459101490553128,5.934894195619588,1,1,3.49650756146648,2.0,0.149994923610415,0.0,0.96551724137931
W2471149695,0.0,0.0,2016,cs.CV,1.0986122886681098,4.653960350157523,1,1,2.995732273553991,1.0,0.0,0.0,1.0
W2280377497,0.0,0.0,2016,stat.ML,1.6094379124341005,4.330733340286331,1,1,3.091042453358316,2.0,0.233791658706459,0.0625,0.9375
W2566467060,12.04,12.04,2016,cs.LG,1.6094379124341005,5.62040086571715,1,1,3.258096538021482,4.0,0.498758465912882,0.0,0.88
