work_id,year,arxiv_type,status_std,has_any_openalex_metrics,has_openalex_references,usable_for_count_analysis,composition_metrics_eligible,usable_for_composition_analysis,openalex_matched_reference_count,log1p_openalex_matched_reference_count,openalex_topic_resolved_reference_count,openalex_topic_missing_reference_count,openalex_reference_field_diversity_raw,openalex_reference_entropy_raw,hss_share_among_matched_refs_raw,cs_share_among_matched_refs_raw,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs,flag_blank_status,flag_status_inferred,flag_not_enriched,flag_no_openalex_references,flag_ok_count_only,flag_ok_for_composition,flag_count_missing,flag_count_zero,flag_count_positive,flag_zero_but_raw_composition_not_missing,flag_positive_count_but_no_topic_resolved,flag_topic_resolved_gt_total,flag_topic_missing_gt_total
W4415328687,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4323708666,2023,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4416095483,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W7127563194,2026,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4416623279,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4415288369,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4406122909,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4406795972,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4406023339,2024,Type 1 (Engineering),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4404088619,2024,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4405033285,2024,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4414756576,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4396816305,2024,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W7124716614,2026,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4406741177,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4403853698,2024,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4405470302,2024,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4417298709,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4417098937,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4224329753,2022,Type 2 (Science),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4416064211,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4414841335,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4403964524,2024,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4414876843,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4402386952,2024,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4417326959,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4388444892,2023,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4415136539,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W7128408854,2026,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4406785379,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4416767021,2025,Type 0 (Pure CS),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
W4417136685,2025,Type 2 (Science),NOT_ENRICHED,0,,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
