metric,value,n_non_missing,mean,median,std,min,p25,p75,max
n_total_rows,138829.0,,,,,,,,
n_rows_with_any_openalex_metrics,56700.0,,,,,,,,
share_rows_with_any_openalex_metrics,0.4084161090262121,,,,,,,,
n_rows_without_openalex_metrics,82129.0,,,,,,,,
n_rows_has_openalex_references,14655.0,,,,,,,,
share_rows_has_openalex_references,0.25846560846560845,,,,,,,,
n_rows_no_openalex_references,42045.0,,,,,,,,
n_rows_usable_for_count_analysis,56700.0,,,,,,,,
share_rows_usable_for_count_analysis,0.4084161090262121,,,,,,,,
n_rows_usable_for_composition_analysis,14236.0,,,,,,,,
share_rows_usable_for_composition_analysis,0.10254341672129022,,,,,,,,
n_blank_status,0.0,,,,,,,,
n_not_enriched,82129.0,,,,,,,,
n_no_openalex_references_status,42045.0,,,,,,,,
n_ok_count_only_status,419.0,,,,,,,,
n_ok_for_composition_status,14236.0,,,,,,,,
n_zero_but_raw_composition_not_missing,42045.0,,,,,,,,
n_positive_count_but_no_topic_resolved,10.0,,,,,,,,
n_topic_resolved_gt_total,0.0,,,,,,,,
n_topic_missing_gt_total,0.0,,,,,,,,
openalex_matched_reference_count,,56700.0,8.389118165784833,0.0,18.86949141435952,0.0,0.0,6.0,1095.0
log1p_openalex_matched_reference_count,,56700.0,0.8580921018958206,0.0,1.4908205373853787,0.0,0.0,1.9459101490553132,6.999422467507961
openalex_topic_resolved_reference_count,,56700.0,7.349911816578484,0.0,16.555040909726763,0.0,0.0,5.0,905.0
openalex_topic_missing_reference_count,,56700.0,1.0392063492063492,0.0,2.793440438133011,0.0,0.0,0.0,190.0
openalex_reference_field_diversity,,14236.0,2.728715931441416,2.0,1.6710157711906066,1.0,1.0,4.0,22.0
openalex_reference_entropy,,14236.0,0.4120581728789612,0.302454926748216,0.3992302841249206,0.0,0.0,0.6733167405993721,2.013822926703922
hss_share_among_matched_refs,,14236.0,0.03340847313689838,0.0,0.09188397044694781,0.0,0.0,0.028571428571428,1.0
cs_share_among_matched_refs,,14236.0,0.8027373985053928,0.923076923076923,0.2594732184474003,0.0,0.7212161646969119,1.0,1.0
