year,n,share_rows_with_any_openalex_metrics,share_has_openalex_references,share_usable_for_count_analysis,share_usable_for_composition_analysis,mean_openalex_matched_reference_count,median_openalex_matched_reference_count,mean_openalex_topic_resolved_reference_count,mean_openalex_reference_field_diversity,mean_openalex_reference_entropy,mean_hss_share_among_matched_refs,mean_cs_share_among_matched_refs
2014,39,1.0,0.7948717948717948,1.0,0.6666666666666666,17.846153846153847,18.0,16.94871794871795,2.6923076923076925,0.4016089979775076,0.06015997558775089,0.8336016480600204
2015,80,1.0,0.775,1.0,0.75,21.55,24.0,20.175,2.466666666666667,0.35450168987486147,0.0423600096632465,0.8617896642721234
2016,301,1.0,0.7774086378737541,1.0,0.7641196013289037,20.13621262458472,19.0,18.335548172757473,2.3260869565217392,0.29506909858178965,0.01828645930192836,0.8947111989382818
2017,1362,1.0,0.7466960352422908,1.0,0.6835535976505139,17.005873715124817,15.0,15.732745961820852,2.5488721804511276,0.4237661454921206,0.024960015637755198,0.7576495140342815
2018,2293,1.0,0.7535979066724815,1.0,0.7091146969036197,19.29088530309638,17.0,17.518534670737026,2.568880688806888,0.40730177864358663,0.024589055804982964,0.7874295837274937
2019,3678,1.0,0.7928221859706363,1.0,0.7748776508972267,25.18243610657966,24.0,22.21615008156607,2.71859649122807,0.4063287538911531,0.027809236205595354,0.8106982197307036
2020,5299,1.0,0.7437252311756936,1.0,0.7291941875825627,25.10907718437441,24.0,21.808643140215136,2.7119565217391304,0.4017929264684315,0.03462476515868398,0.8081845394241419
2021,7616,1.0,0.5749737394957983,1.0,0.5655199579831933,20.676601890756302,16.0,17.722820378151262,2.7404225679127,0.4036937368097627,0.03673436078506629,0.8135704397020526
2022,9794,0.2602613845211354,0.019615535504119264,0.2602613845211354,0.005105166428425566,0.8556296586896822,0.0,0.7457826598666144,4.16,0.7041093683536964,0.07128832276359152,0.6566447922101466
2023,20668,0.37545964776466034,0.03157216494845361,0.37545964776466034,0.011708922005031933,1.6068298969072166,0.0,1.4563144329896907,4.475206611570248,0.7690055051308187,0.09729180928761068,0.6636124353921657
2024,33052,0.3649400943967082,0.00248714972641353,0.3649400943967082,0.0009076606559361007,0.1025534737191179,0.0,0.09650140938484497,4.5,0.7533146236386771,0.11248314342900545,0.6975806184893386
2025,40151,0.26283280615675825,0.0020847152468492372,0.26283280615675825,0.0004981195985156036,0.07125935752866483,0.0,0.0691746422818156,4.35,0.8252683645789528,0.11634813728397526,0.557803403001918
2026,14496,0.2144039735099338,0.0,0.2144039735099338,0.0,0.0,0.0,0.0,,,,
