work_id,stage,arxiv_id,arxiv_primary_category,arxiv_type,total_authors,team_hss_dna_pct,clean_work_id,citations,year,yearly_mean,RCR,Log_RCR,Reference_Count,Prior_Knowledge_Stock,HSS_Diversity,HSS_Continuous,log_team_size,log_prior_knowledge,HSS_Bin,Hit_Rate_10_year,Hit_Rate_10_year_cat,title,publication_year_phase,concepts_norm_str,has_hss_concepts,Socially_Embedded_Topic,phase_match_flag,Citation_Entropy,Citation_Field_Diversity,Citing_Profile_Coverage,Citing_Profile_Present,HSS_Citing_Share,NonCS_Citation_Share,Total_Citing_Profile_Count,citing_missing_flag,InternalRef_Total,InternalRef_Matched,InternalRef_HSS_Matched,InternalRef_Coverage,HSS_Reference_Share_Internal_MatchedBase,HSS_Reference_Share_Internal_TotalBase,RefMeta_Total,RefMeta_Matched,RefMeta_Coverage,Mean_Reference_Age,Median_Reference_Age,Recent_Reference_Share_3y,Mean_Log_Ref_Citations,Median_Log_Ref_Citations,citing_disciplines_json,referenced_works_json,normalized_work_id,normalized_work_id_result,resolved_work_id,status,error_stage,error_detail,reference_count_total,reference_count_with_primary_topic,reference_count_missing_primary_topic,reference_count_unresolved,reference_topic_coverage,reference_field_diversity,reference_entropy,hss_reference_share,cs_core_reference_share,processed_at_utc
W3110667630,Phase2,2012.09543,cs.LG,Type 0 (Pure CS),6,1.0,W3110667630,5,2020,18.33949801849405,0.2726355974933371,0.2410900236816147,32,261,0.0,0.1,1.9459101490553128,5.568344503761097,Low HSS,0,0,Few-shot Sequence Learning with Transformers,2020,Computer Science; Artificial intelligence; Machine learning; Theoretical computer science; Mathematics; Engineering; Mathematical analysis; Electrical engineering; Computer security; Operating system; Systems engineering; Biology; Genetics,0,0,1,1.9513496062520657,8.0,4.2,1,0.2857142857142857,0.7619047619047619,21.0,has_profile,32.0,7.0,5.0,0.21875,0.7142857142857143,0.15625,32.0,7.0,0.21875,1.2857142857142858,1.0,0.8571428571428571,5.324805101597808,4.882801922586371,"{""Computer science"": 5, ""Biology"": 4, ""Physics"": 2, ""Economics"": 3, ""Chemistry"": 1, ""Engineering"": 1, ""Philosophy"": 1, ""Mathematics"": 2, ""Art"": 1, ""History"": 1}","[""W1525859397"", ""W1942758450"", ""W2089217417"", ""W2115733720"", ""W2137825550"", ""W2144656844"", ""W2535697732"", ""W2601450892"", ""W2604763608"", ""W2620076854"", ""W2787501667"", ""W2794363191"", ""W2911300548"", ""W2914752403"", ""W2915573484"", ""W2945337239"", ""W2950129230"", ""W2963341924"", ""W2963341956"", ""W2963403868"", ""W2963424430"", ""W2963775850"", ""W2963921132"", ""W2964112702"", ""W2964121744"", ""W2964303773"", ""W2970279348"", ""W2971008823"", ""W2973049837"", ""W2980433389"", ""W2995322030"", ""W3030163527""]",W3110667630,W3110667630,,OK,,,32.0,24.0,8.0,,,2.0,0.1732052067491771,0.0,0.9583333333333334,2026-06-09T20:24:03.468265
W2948975009,Phase2,1906.03351,cs.LG,Type 1 (Engineering),6,1.0,W2948975009,32,2019,27.19766177270256,1.1765717313286614,0.7777510386592644,45,163,0.0,0.1,1.9459101490553128,5.099866427824199,Low HSS,0,0,Real or Fake? Learning to Discriminate Machine from Human Generated Text,2019,Computer Science; Artificial intelligence; Machine learning; Natural language processing; Algorithm; Mathematics; Statistics; Engineering; Mathematical analysis; Systems engineering; Electronic engineering; Programming language,0,1,1,2.181335199158776,14.0,2.875,1,0.25,0.6630434782608695,92.0,has_profile,45.0,8.0,4.0,0.1777777777777777,0.5,0.0888888888888888,45.0,8.0,0.1777777777777777,1.25,0.5,0.875,6.438609194145784,5.985355503222357,"{""Computer science"": 31, ""Mathematics"": 10, ""Geology"": 2, ""Physics"": 9, ""Medicine"": 2, ""Psychology"": 5, ""Philosophy"": 6, ""Engineering"": 7, ""Chemistry"": 4, ""Business"": 1, ""Geography"": 2, ""Economics"": 2, ""Political science"": 3, ""Sociology"": 1, ""History"": 3, ""Biology"": 2, ""Art"": 2}","[""W179314280"", ""W1522301498"", ""W1566289585"", ""W1802356529"", ""W1810943226"", ""W1815076433"", ""W1988790447"", ""W2064675550"", ""W2074551195"", ""W2099471712"", ""W2110485445"", ""W2116064496"", ""W2124914669"", ""W2128084896"", ""W2131774270"", ""W2158899491"", ""W2161914416"", ""W2518108298"", ""W2525332836"", ""W2605998369"", ""W2787560479"", ""W2789543585"", ""W2898658996"", ""W2899771611"", ""W2913250058"", ""W2922772346"", ""W2933138175"", ""W2949644922"", ""W2949888546"", ""W2950726992"", ""W2951080837"", ""W2962784628"", ""W2963096510"", ""W2963341956"", ""W2963403868"", ""W2963631907"", ""W2963946353"", ""W2963970792"", ""W2964308564"", ""W2965373594"", ""W2970690146"", ""W2971008823"", ""W2984520708"", ""W3023071679"", ""W3214102110""]",W2948975009,W2948975009,,OK,,,45.0,38.0,7.0,,,4.0,0.3629234715124522,0.0526315789473684,0.9210526315789472,2026-06-09T20:31:32.991829
W4288364319,Phase2,1904.11942,cs.CL,Type 0 (Pure CS),4,1.0,W4288364319,9,2019,27.19766177270256,0.330910799436186,0.2858635194633457,0,258,0.0188561808316412,0.1,1.6094379124341005,5.556828061699537,Low HSS,0,0,Contextualized Word Embeddings Enhanced Event Temporal Relation\n Extraction for Story Understanding,2019,Computer Science; Artificial intelligence; Natural language processing; Arts and Humanities; Data mining; Quantum mechanics; Physics; Programming language,1,1,1,2.0692286505059987,10.0,3.333333333333333,1,0.2333333333333333,0.7,30.0,has_profile,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,"{""Computer science"": 9, ""Mathematics"": 1, ""Physics"": 5, ""Engineering"": 3, ""Philosophy"": 3, ""Chemistry"": 2, ""Biology"": 2, ""Geography"": 1, ""Economics"": 2, ""Psychology"": 2}",[],W4288364319,W4288364319,,LEGACY_ZERO_TOTAL,,,0.0,0.0,0.0,,,0.0,,,,2026-06-09T20:34:12.989535
W3019417368,Phase2,2004.10188,cs.CL,Type 1 (Engineering),6,1.0,W3019417368,9,2020,18.33949801849405,0.4907440754880069,0.3992753748310627,0,163,0.0,0.1,1.9459101490553128,5.099866427824199,Low HSS,0,0,Energy-Based Models for Text,2020,Computer Science; Artificial intelligence; Natural language processing; Machine learning; Psychology; Mathematics education; Visual arts; Arts and Humanities,1,1,1,1.939021599034533,10.0,3.333333333333333,1,0.2333333333333333,0.7,30.0,has_profile,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,"{""Computer science"": 9, ""Mathematics"": 8, ""Chemistry"": 2, ""Psychology"": 1, ""Economics"": 1, ""Philosophy"": 3, ""Political science"": 2, ""Engineering"": 2, ""Geography"": 1, ""Biology"": 1}",[],W3019417368,W3019417368,,LEGACY_ZERO_TOTAL,,,0.0,0.0,0.0,,,0.0,,,,2026-06-09T20:35:16.038803
W4289361879,Phase2,1810.12836,cs.CL,Type 0 (Pure CS),7,1.0,W4289361879,2,2018,26.02834714348016,0.0768393009734765,0.0740301771745706,0,95,0.0,0.1,2.079441541679836,4.564348191467836,Low HSS,0,0,Learning Cross-Lingual Sentence Representations via a Multi-task\n Dual-Encoder Model,2018,"Computer Science; Natural language processing; Artificial intelligence; Speech recognition; Arts and Humanities; Operating system; Economics, Econometrics and Finance; Business, Management and Accounting",1,1,1,1.5498260458782016,5.0,3.5,1,0.5714285714285714,0.7142857142857143,7.0,has_profile,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,"{""Computer science"": 2, ""Philosophy"": 2, ""Political science"": 1, ""Mathematics"": 1, ""Economics"": 1}",[],W4289361879,W4289361879,,LEGACY_ZERO_TOTAL,,,0.0,0.0,0.0,,,0.0,,,,2026-06-09T20:38:23.580361
W2896323412,Phase2,1810.07931,cs.CL,Type 0 (Pure CS),5,1.0,W2896323412,1,2018,26.02834714348016,0.0384196504867382,0.0376999906009796,43,58,0.0,0.1,1.791759469228055,4.07753744390572,Low HSS,0,0,Unsupervised Neural Text Simplification,2018,Computer Science; Artificial intelligence; Natural language processing; Machine learning; Operating system,0,0,1,-0.0,1.0,1.0,1,0.0,0.0,1.0,has_profile,43.0,4.0,2.0,0.0930232558139534,0.5,0.0465116279069767,43.0,4.0,0.0930232558139534,2.75,3.0,0.5,8.066813682545082,9.18429929556469,"{""Computer science"": 1}","[""W1544285860"", ""W1638924786"", ""W1746111881"", ""W1751157425"", ""W1963741647"", ""W1967390364"", ""W1996650435"", ""W2028577360"", ""W2063490579"", ""W2081388731"", ""W2083245912"", ""W2099471712"", ""W2101105183"", ""W2119954850"", ""W2133182690"", ""W2133564696"", ""W2138238299"", ""W2145882814"", ""W2153982529"", ""W2156422881"", ""W2250531756"", ""W2250958747"", ""W2251654079"", ""W2251933807"", ""W2296307963"", ""W2401830275"", ""W2524789673"", ""W2534253848"", ""W2551704653"", ""W2741816383"", ""W2758506174"", ""W2807383112"", ""W2888173624"", ""W2890007195"", ""W2949541494"", ""W2950635152"", ""W2962824887"", ""W2962965405"", ""W2963034998"", ""W2963366196"", ""W2963732644"", ""W2964085268"", ""W2964199361""]",W2896323412,W2896323412,,OK,,,43.0,41.0,2.0,,,2.0,0.1949086871878175,0.048780487804878,0.951219512195122,2026-06-09T20:39:06.965396
W3194813133,Phase2,2108.06669,eess.IV,Type 1 (Engineering),10,1.0,W3194813133,0,2021,12.628151260504202,0.0,0.0,17,247,0.0433012701892219,0.1,2.3978952727983707,5.513428746164983,Low HSS,0,0,CPNet: Cycle Prototype Network for Weakly-supervised 3D Renal Compartments Segmentation on CT Images,2021,Computer Science; Artificial intelligence; Oceanography; Arts and Humanities; Geology,1,1,1,0.0,0.0,,0,0.0,0.0,0.0,zero_citations_no_profile,17.0,0.0,0.0,0.0,,0.0,17.0,0.0,0.0,,,,,,,"[""W81499379"", ""W1901129140"", ""W2095488888"", ""W2114079675"", ""W2132695006"", ""W2592929672"", ""W2748622717"", ""W2763160469"", ""W2808302424"", ""W2891048235"", ""W2907125610"", ""W2963429638"", ""W2963881378"", ""W2990230185"", ""W3025299467"", ""W3090605478"", ""W3119856975""]",W3194813133,W3194813133,,OK,,,17.0,14.0,3.0,,,4.0,1.0913030006468518,0.0,0.3571428571428571,2026-06-09T20:44:44.486613
W4392822190,Phase3,2403.07974,cs.SE,Type 0 (Pure CS),10,1.0,W4392822190,21,2024,1.2295776352414378,17.079035433070864,2.894753003600101,0,166,0.0,0.1,2.3978952727983707,5.117993812416755,Low HSS,1,1,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,2024,Computer Science; Programming language; Biology; Ecology,0,0,1,1.7597525791566655,11.0,2.0,1,0.1428571428571428,0.5,42.0,has_profile,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,"{""Computer science"": 21, ""Psychology"": 1, ""Mathematics"": 5, ""Business"": 2, ""Biology"": 2, ""Political science"": 2, ""Engineering"": 4, ""Physics"": 1, ""Geography"": 2, ""Economics"": 1, ""Medicine"": 1}",[],W4392822190,W4392822190,,LEGACY_ZERO_TOTAL,,,0.0,0.0,0.0,,,0.0,,,,2026-06-09T20:46:18.078685
W4392340143,Phase3,2402.18028,cs.CV,Type 0 (Pure CS),20,1.0,W4392340143,8,2024,1.2295776352414378,6.5062992125984245,2.015742563040941,0,412,0.0,0.1,3.044522437723423,6.023447592961033,Low HSS,1,1,OpenMEDLab: An Open-source Platform for Multi-modality Foundation Models in Medicine,2024,Computer Science; Artificial intelligence; Social Sciences; Programming language,1,1,1,2.1165310535178383,11.0,3.0,1,0.25,0.6666666666666666,24.0,has_profile,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,"{""Computer science"": 8, ""Business"": 1, ""Engineering"": 2, ""Psychology"": 2, ""Economics"": 1, ""Mathematics"": 2, ""History"": 1, ""Biology"": 2, ""Medicine"": 3, ""Geography"": 1, ""Political science"": 1}",[],W4392340143,W4392340143,,LEGACY_ZERO_TOTAL,,,0.0,0.0,0.0,,,0.0,,,,2026-06-09T20:50:17.612737
W4396822387,Phase3,2405.05767,cs.NE,Type 0 (Pure CS),4,1.0,W4396822387,2,2024,1.2295776352414378,1.626574803149606,0.965680641169893,0,64,0.02,0.1,1.6094379124341005,4.174387269895637,Low HSS,0,0,Large Language Model-Aided Evolutionary Search for Constrained Multiobjective Optimization,2024,Computer Science; Mathematical optimization; Mathematics; Machine learning,0,0,1,-0.0,1.0,1.0,1,0.0,0.0,2.0,has_profile,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,"{""Computer science"": 2}",[],W4396822387,W4396822387,,LEGACY_ZERO_TOTAL,,,0.0,0.0,0.0,,,0.0,,,,2026-06-09T20:51:20.945765
