topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,works_count
T14423,Military Technology and Strategies,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,22328844
T10346,Magnetic confinement fusion research,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,9280046
T13370,Diverse Scientific and Economic Studies,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,5019812
T12157,Geochemistry and Geologic Mapping,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,3955756
T10451,Mycorrhizal Fungi and Plant Interactions,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,3216652
T10978,Prenatal Screening and Diagnostics,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,1676642
T11367,Particle accelerators and beam dynamics,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,1473838
T10895,Species Distribution and Climate Change,2302,Ecological Modeling,23,Environmental Science,3,Physical Sciences,1385008
T12859,Cell Image Analysis Techniques,1304,Biophysics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,1177224
T12692,Magnetic Field Sensors Techniques,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,1017784
T13497,Hermeneutics and Narrative Identity,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,1006730
T13638,Human auditory perception and evaluation,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,989827
T10781,Plasma Diagnostics and Applications,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,980390
T12760,Laser Design and Applications,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,870874
T11881,Crystallization and Solubility Studies,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences,778827
T11893,German Literature and Culture Studies,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,771234
T10384,Laser-Plasma Interactions and Diagnostics,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,725480
T11475,French Urban and Social Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,707775
T11803,Superconducting and THz Device Technology,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,626726
T10015,Genomics and Phylogenetic Studies,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,570628
T10165,Classical Antiquity Studies,3314,Anthropology,33,Social Sciences,2,Social Sciences,565647
T11044,Particle Detector Development and Performance,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,559436
T10733,Wheat and Barley Genetics and Pathology,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,554939
T10941,Musicology and Musical Analysis,1210,Music,12,Arts and Humanities,2,Social Sciences,552632
T14380,Libraries and Information Services,1209,Museology,12,Arts and Humanities,2,Social Sciences,551794
T11175,Gyrotron and Vacuum Electronics Research,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,540733
T12837,American Environmental and Regional History,2308,"Management, Monitoring, Policy and Law",23,Environmental Science,3,Physical Sciences,540536
T11662,Legal Cases and Commentary,2743,Reproductive Medicine,27,Medicine,4,Health Sciences,520944
T11926,Subterranean biodiversity and taxonomy,1911,Paleontology,19,Earth and Planetary Sciences,3,Physical Sciences,512577
T13958,"Education, Innovation and Language Studies",3304,Education,33,Social Sciences,2,Social Sciences,500625
T13445,American Constitutional Law and Politics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,494615
T10591,Theoretical and Computational Physics,3104,Condensed Matter Physics,31,Physics and Astronomy,3,Physical Sciences,488347
T10251,Solar and Space Plasma Dynamics,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,472226
T10048,Particle physics theoretical and experimental studies,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,469700
T13085,"Education, Psychology, and Social Research",3304,Education,33,Social Sciences,2,Social Sciences,468670
T10744,Astrophysical Phenomena and Observations,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,467861
T11986,Scientific Computing and Data Management,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences,464946
T12565,Physics and Engineering Research Articles,2206,Computational Mechanics,22,Engineering,3,Physical Sciences,446048
T10252,Microbial Natural Products and Biosynthesis,2736,Pharmacology,27,Medicine,4,Health Sciences,428720
T11974,Lepidoptera: Biology and Taxonomy,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,417128
T13650,Computational Physics and Python Applications,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,412519
T10362,Biblical Studies and Interpretation,1212,Religious studies,12,Arts and Humanities,2,Social Sciences,404450
T12633,Legal case studies and regulations,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,402482
T12930,Biomedical and Chemical Research,2746,Surgery,27,Medicine,4,Health Sciences,396969
T10017,Geology and Paleoclimatology Research,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences,394878
T10893,Chinese history and philosophy,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,392741
T12409,Reformation and Early Modern Christianity,1202,History,12,Arts and Humanities,2,Social Sciences,390974
T10885,Gene expression and cancer classification,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,389444
T10001,Geological and Geochemical Analysis,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,377195
T11937,Research Data Management Practices,1710,Information Systems,17,Computer Science,3,Physical Sciences,371648
T11993,Atomic and Subatomic Physics Research,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,364946
T12713,Forest Ecology and Biodiversity Studies,1109,Insect Science,11,Agricultural and Biological Sciences,1,Life Sciences,364611
T12552,Fetal and Pediatric Neurological Disorders,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,364151
T12826,Education Methods and Technologies,3304,Education,33,Social Sciences,2,Social Sciences,359852
T13167,"Historical, Literary, and Cultural Studies",1205,Classics,12,Arts and Humanities,2,Social Sciences,359699
T13459,Public Administration and Political Analysis,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,359593
T11312,Soil Moisture and Remote Sensing,2305,Environmental Engineering,23,Environmental Science,3,Physical Sciences,356293
T13710,European and International Law Studies,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,354554
T13297,History and advancements in chemistry,1606,Physical and Theoretical Chemistry,16,Chemistry,3,Physical Sciences,353948
T13641,Historical Studies and Socio-cultural Analysis,1207,History and Philosophy of Science,12,Arts and Humanities,2,Social Sciences,349305
T12797,History of Computing Technologies,1706,Computer Science Applications,17,Computer Science,3,Physical Sciences,346173
T12836,History and Developments in Astronomy,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,346047
T12455,Mediterranean and Iberian flora and fauna,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,340638
T12527,Chemistry and Stereochemistry Studies,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences,335261
T12917,Astronomy and Astrophysical Research,3105,Instrumentation,31,Physics and Astronomy,3,Physical Sciences,335066
T12012,Diatoms and Algae Research,2502,Biomaterials,25,Materials Science,3,Physical Sciences,334082
T13884,Educational Leadership and Practices,3304,Education,33,Social Sciences,2,Social Sciences,333165
T13624,Social Sciences and Policies,3300,General Social Sciences,33,Social Sciences,2,Social Sciences,332550
T10995,Methane Hydrates and Related Phenomena,2304,Environmental Chemistry,23,Environmental Science,3,Physical Sciences,329819
T13396,Agriculture and Rural Development Research,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,328821
T12954,Law and Political Science,3308,Law,33,Social Sciences,2,Social Sciences,328000
T13937,"Genetics, Bioinformatics, and Biomedical Research",1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,325837
T12983,Satellite Image Processing and Photogrammetry,2212,Ocean Engineering,22,Engineering,3,Physical Sciences,320916
T10325,Astro and Planetary Science,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,319528
T10290,Pregnancy and preeclampsia studies,2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences,318793
T10597,Nuclear reactor physics and engineering,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,317280
T11776,Irish and British Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,316947
T12454,European Political History Analysis,1202,History,12,Arts and Humanities,2,Social Sciences,310837
T13532,Education Systems and Policy,3304,Education,33,Social Sciences,2,Social Sciences,310381
T13602,Educational Methods and Media Use,1710,Information Systems,17,Computer Science,3,Physical Sciences,310170
T13130,Biological and pharmacological studies of plants,2736,Pharmacology,27,Medicine,4,Health Sciences,308888
T11405,Geophysics and Gravity Measurements,1910,Oceanography,19,Earth and Planetary Sciences,3,Physical Sciences,304016
T13033,Social Sciences and Governance,3322,Urban Studies,33,Social Sciences,2,Social Sciences,303886
T12618,Botany and Plant Ecology Studies,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,302331
T13275,Medical and Health Sciences Research,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,300109
T13015,"Botany, Ecology, and Taxonomy Studies",1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,299272
T11198,Japanese History and Culture,3316,Cultural Studies,33,Social Sciences,2,Social Sciences,297551
T12568,Plant Taxonomy and Phylogenetics,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,297073
T12768,Linguistics and language evolution,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,295352
T13372,Archaeology and Historical Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences,295231
T10181,Natural Language Processing Techniques,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,294285
T11857,Archaeological and Historical Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences,292568
T13556,Historical Influence and Diplomacy,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,291932
